TIME,CH,ADC
121498088,19,360
121499232,14,359
121499352,19,360
121500496,14,360
121500616,19,360
121501760,14,359
121501880,19,360
121503024,14,359
121503144,19,361
121504288,14,359
121504408,19,360
121505552,14,359
121505672,19,360
121506820,14,359
121506944,19,360
121508088,14,359
121508208,19,361
121509352,14,359
121509472,19,360
121510616,14,359
121510736,19,360
121511880,14,359
121512000,19,360
121513144,14,359
121513264,19,361
121514408,14,359
121514528,19,360
121515672,14,359
121515792,19,360
121516936,14,359
121517060,19,360
121518208,14,359
121518328,19,360
121519472,14,359
121519592,19,360
121520736,14,359
121520856,19,360
121522000,14,359
121522120,19,360
121523264,14,359
121523384,19,360
121524528,14,359
121524648,19,361
121525792,14,359
121525912,19,360
121527056,14,359
121527176,19,360
121528324,14,359
121528448,19,360
121529592,14,359
121529712,19,360
121530856,14,359
121530976,19,360
121532120,14,359
121532240,19,360
121533384,14,359
121533504,19,360
121534648,14,359
121534768,19,360
121535912,14,359
121536032,19,360
121537176,14,359
121537296,19,361
121538440,14,359
121538564,19,360
121539712,14,359
121539832,19,361
121540976,14,359
121541096,19,360
121542240,14,359
121542360,19,360
121543504,14,359
121543624,19,360
121544768,14,359
121544888,19,361
121546032,14,359
121546152,19,360
121547296,14,359
121547416,19,360
121548560,14,359
121548680,19,360
121549832,14,359
121549952,19,360
121551096,14,359
121551216,19,360
121552360,14,359
121552480,19,360
121553624,14,359
121553744,19,360
121554888,14,359
121555008,19,360
121556152,14,359
121556272,19,361
121557416,14,359
121557536,19,360
121558680,14,359
121558800,19,360
121559944,14,359
121560068,19,360
121561216,14,359
121561336,19,361
121562480,14,359
121562600,19,360
121563744,14,359
121563864,19,360
121565008,14,359
121565128,19,360
121566272,14,359
121566392,19,360
121567536,14,359
121567656,19,360
121568800,14,359
121568920,19,360
121570064,14,359
121570184,19,360
121571332,14,359
121571456,19,360
121572600,14,359
121572720,19,360
121573864,14,359
121573984,19,360
121575128,14,359
121575248,19,360
121576392,14,359
121576512,19,360
121577656,14,359
121577776,19,360
121578920,14,359
121579040,19,360
121580184,14,359
121580304,19,360
121581448,14,359
121581572,19,360
121582720,14,359
121582840,19,360
121583984,14,359
121584104,19,360
121585248,14,359
121585368,19,360
121586512,14,359
121586632,19,360
121587776,14,359
121587896,19,360
121589040,14,359
121589160,19,360
121590304,14,359
121590424,19,360
121591568,14,359
121591688,19,360
121592836,14,359
121592960,19,360
121594104,14,359
121594224,19,360
121595368,14,359
121595488,19,360
121596632,14,359
121596752,19,360
121597896,14,359
121598016,19,360
121599160,14,359
121599280,19,360
121600424,14,359
121600544,19,361
121601688,14,359
121601808,19,360
121602952,14,359
121603080,19,360
121604224,14,359
121604344,19,360
121605488,14,359
121605608,19,360
121606752,14,359
121606872,19,361
121608016,14,359
121608136,19,360
121609280,14,359
121609400,19,360
121610544,14,359
121610664,19,361
121611808,14,359
121611928,19,360
121613072,14,359
121613192,19,360
121614340,14,358
121614464,19,360
121615608,14,359
121615728,19,361
121616872,14,359
121616992,19,360
121618136,14,359
121618256,19,360
121619400,14,359
121619520,19,360
121620664,14,359
121620784,19,361
121621928,14,359
121622048,19,361
121623192,14,359
121623312,19,361
121624456,14,359
121624580,19,360
121625728,14,359
121625848,19,360
121626992,14,359
121627112,19,361
121628256,14,359
121628376,19,360
121629520,14,359
121629640,19,360
121630784,14,361
121630904,19,361
121632048,14,358
121632168,19,360
121633312,14,358
121633432,19,360
121634576,14,359
121634696,19,360
121635844,14,359
121635968,19,360
121637112,14,359
121637232,19,360
121638376,14,359
121638496,19,360
121639640,14,359
121639760,19,360
121640904,14,359
121641024,19,361
121642168,14,359
121642288,19,360
121643432,14,359
121643552,19,360
121644696,14,359
121644816,19,360
121645960,14,359
121647232,14,359
121647352,19,360
121648496,14,360
121648616,19,362
121649760,14,359
121649880,19,360
121651024,14,359
121651144,19,360
121652288,14,359
121652408,19,360
