TIME,CH,ADC
2213774224,14,333
2224352480,19,199
2234931760,14,337
2235032984,19,199
2235135232,14,338
2235136328,19,200
2235138448,14,338
2235138584,19,200
2235139744,14,338
2235139872,19,201
2235141024,14,338
2235141152,19,201
2235142304,14,339
2235142432,19,201
2235143584,14,339
2235143712,19,200
2235144864,14,338
2235144992,19,200
2235146144,14,338
2235146272,19,200
2235147424,14,338
2235147552,19,201
2235148704,14,338
2235148832,19,201
2235149984,14,339
2235150112,19,200
2235151264,14,339
2235151392,19,200
2235152544,14,339
2235152672,19,200
2235153824,14,338
2235153952,19,200
2235155104,14,339
2235155232,19,201
2235156384,14,338
2235156512,19,201
2235157664,14,339
2235157792,19,200
2235158944,14,339
2235159072,19,200
2235160224,14,339
2235160352,19,201
2235161504,14,339
2235161632,19,200
2235162784,14,339
2235162912,19,201
2235164064,14,339
2235164192,19,201
2235165344,14,339
2235165472,19,201
2235166624,14,339
2235166752,19,201
2235167904,14,339
2235168032,19,200
2235169184,14,339
2235169312,19,200
2235170464,14,339
2235170592,19,201
2235171744,14,339
2235171872,19,201
2235173024,14,339
2235173152,19,200
2235174304,14,339
2235174432,19,200
2235175584,14,339
2235175712,19,200
2235176864,14,339
2235176992,19,201
2235178144,14,339
2235178272,19,200
2235179424,14,339
2235179552,19,200
2235180704,14,339
2235180832,19,201
2235181984,14,338
2235183264,14,339
2235183392,19,200
2235184544,14,339
2235184672,19,200
2235185824,14,339
2235187104,14,338
2235187232,19,200
2235188384,14,339
2235188512,19,201
2235189664,14,339
2235189792,19,200
2235190944,14,339
2235191072,19,200
2235192224,14,339
2235192352,19,201
2235193504,14,339
2235193632,19,201
2235194784,14,339
2235194912,19,201
2235196064,14,339
2235196192,19,201
2235197344,14,339
2235197472,19,201
2235198624,14,339
2235198752,19,201
2235199904,14,339
2235200032,19,201
2235201184,14,339
2235201312,19,201
2235202464,14,339
2235202592,19,201
2235203744,14,340
2235203872,19,201
2235205024,14,339
2235205152,19,201
2235206304,14,339
2235206432,19,201
2235207584,14,339
2235207712,19,201
2235208864,14,340
2235208992,19,201
2235210144,14,339
2235210272,19,201
2235211424,14,339
2235211552,19,201
2235212704,14,339
2235212832,19,201
2235213984,14,339
2235214112,19,201
2235215264,14,339
2235215392,19,201
2235216544,14,339
2235216672,19,201
2235217824,14,339
2235217952,19,201
2235219104,14,339
2235219232,19,201
2235220384,14,339
2235220512,19,201
2235221664,14,339
2235221792,19,201
2235222944,14,339
2235223072,19,201
2235224224,14,340
2235224352,19,201
2235225504,14,340
2235225632,19,201
2235226784,14,339
2235226912,19,201
2235228064,14,339
2235228192,19,202
2235229344,14,339
2235229472,19,201
2235230624,14,339
2235230752,19,201
2235231904,14,339
2235232032,19,201
2235233184,14,339
2235233312,19,201
2235234464,14,339
2235234592,19,202
2235235744,14,339
2235235872,19,202
2235302312,14,340
2235302440,19,204
2235303592,14,339
2235303720,19,203
2235304872,14,339
2235305000,19,203
2235306152,14,340
2235306280,19,204
2235307432,14,339
2235307560,19,204
2235308712,14,339
2235308840,19,203
2235309992,14,339
2235310120,19,204
2235311272,14,339
2235311400,19,203
2235312552,14,340
2235312680,19,204
2235313832,14,340
2235313960,19,203
2235315112,14,340
2235315240,19,204
2235316392,14,340
2235316520,19,203
2235317672,14,340
2235317800,19,204
2235318952,14,340
2235319080,19,204
2235320232,14,339
2235320360,19,204
2235321512,14,340
2235321640,19,204
2235322792,14,340
2235322920,19,204
2235324072,14,340
2235324200,19,204
2235325352,14,340
2235325480,19,204
2235326632,14,340
2235326760,19,204
2235327912,14,340
2235328040,19,204
2235329192,14,339
2235329320,19,204
2235330480,14,340
2235330608,19,204
2235331760,14,339
2235331888,19,203
2235333040,14,339
2235333168,19,204
2235334320,14,339
2235334448,19,203
2235335600,14,339
2235335728,19,204
2235336880,14,340
2235337008,19,204
2235338160,14,339
2235338288,19,204
2235339448,14,340
2235339576,19,204
2235340728,14,339
2235340856,19,204
2235342008,14,339
2235342136,19,204
2235343288,14,340
2235343416,19,204
2235344568,14,339
2235344696,19,204
2235345848,14,339
2235345976,19,204
2235347136,14,340
2235347264,19,204
2235348416,14,339
2235348544,19,204
2235349696,14,339
2235349824,19,204
2235350976,14,339
2235351104,19,204
2235352256,14,340
2235352384,19,204
2235353536,14,339
2235353664,19,204
2235354816,14,340
2235354944,19,204
2235356096,14,340
2235356224,19,204
2235357376,14,339
2235357504,19,204
2235358656,14,340
2235358784,19,204
2235359936,14,340
2235360064,19,204
2235361216,14,339
2235361344,19,204
2235362496,14,340
2235362624,19,204
2235363776,14,340
2235363904,19,204
2235365056,14,340
2235365184,19,204
2235366336,14,340
2235366464,19,204
2235367616,14,339
2235367744,19,204
2235368896,14,339
2235369024,19,204
2235370176,14,340
2235370304,19,204
2235371456,14,340
2235371584,19,204
2235372736,14,339
2235372864,19,204
2235374016,14,339
2235374144,19,204
2235375296,14,340
2235375424,19,204
2235376576,14,339
2235376704,19,204
2235377856,14,339
2235377984,19,204
2235379136,14,340
2235379264,19,204
2235380416,14,340
2235380544,19,204
2235381696,14,339
2235381824,19,204
2235382976,14,339
2235383104,19,204
2235384256,14,340
2235384384,19,204
2235385536,14,339
2235385664,19,204
2235386816,14,340
2235386944,19,204
2235388096,14,340
2235388224,19,204
2235389376,14,339
2235389504,19,204
2235390656,14,340
2235390784,19,204
2235391936,14,340
2235392064,19,204
2235393216,14,339
2235393344,19,204
2235394504,14,339
2235394632,19,203
2235395784,14,339
2235395912,19,204
2235397072,14,339
2235397200,19,204
2235398352,14,339
2235398480,19,204
2235399632,14,339
2235399760,19,204
2235400912,14,339
2235401040,19,204
2235402192,14,339
2235402320,19,204
2235403472,14,339
2235403600,19,204
2235404752,14,340
2235404880,19,204
2235406032,14,339
2235406160,19,204
2235407312,14,339
2235407440,19,204
2235408592,14,340
2235408720,19,204
2235409872,14,339
2235410000,19,204
2235411152,14,340
2235411280,19,204
2235412432,14,340
2235412560,19,204
2235413712,14,339
2235413840,19,204
2235415000,14,339
2235415128,19,204
2235416280,14,339
2235416408,19,204
2235417560,14,339
2235417688,19,204
2235418840,14,339
2235418968,19,204
2235420120,14,340
2235420248,19,204
2235421400,14,340
2235421528,19,204
2235422680,14,339
2235422808,19,204
2235423968,14,339
2235424096,19,204
2235425248,14,340
2235425376,19,204
2235426528,14,339
2235426656,19,204
2235427808,14,339
2235427936,19,204
2235429088,14,339
2235429216,19,204
2235430368,14,339
2235430496,19,204
2235431656,14,339
2235431784,19,204
2235432944,14,340
2235433080,19,204
2235434232,14,340
2235434360,19,204
2235435512,14,339
2235435640,19,204
2235436792,14,339
2235436920,19,204
2235438072,14,341
2235438208,19,205
2235439360,14,341
2235439488,19,205
2235440640,14,340
2235440768,19,204
2235441920,14,340
2235442048,19,204
2235443208,14,340
2235443336,19,205
2235444488,14,340
2235444616,19,204
2235445768,14,341
2235445896,19,204
2235447048,14,340
2235447176,19,204
2235448328,14,340
2235448456,19,205
2235449608,14,340
2235449736,19,205
2235450888,14,340
2235451016,19,205
2235452168,14,340
2235452296,19,204
2235453448,14,340
2235453576,19,204
2235454728,14,340
2235454856,19,204
2235456008,14,340
2235456136,19,204
2235457288,14,340
2235457416,19,204
2235458568,14,340
2235458696,19,204
2235459848,14,341
2235459976,19,205
2235461128,14,340
2235461256,19,204
2235462408,14,340
2235462536,19,204
2235463688,14,339
2235463816,19,204
2235464968,14,341
2235465096,19,205
2235466248,14,341
2235466376,19,205
2235467528,14,340
2235467656,19,204
2235468808,14,340
2235468936,19,204
2235470088,14,341
2235470216,19,205
2235471368,14,341
2235471496,19,204
2235472648,14,340
2235472776,19,204
2235473928,14,340
2235474056,19,204
2235475208,14,340
2235475336,19,204
2235476488,14,341
2235476616,19,204
2235477768,14,340
2235477896,19,204
2235479048,14,340
2235479176,19,204
2235480328,14,340
2235480456,19,204
2235481608,14,340
2235481736,19,204
2235482888,14,340
2235483016,19,205
2235484168,14,340
2235484296,19,204
2235485448,14,340
2235485576,19,205
2235486728,14,340
2235486856,19,204
2235488008,14,342
2235488136,19,206
2235489288,14,340
2235489416,19,204
2235490568,14,340
2235490696,19,204
2235491848,14,340
2235491976,19,204
2235493128,14,340
2235493256,19,204
2235494408,14,340
2235494536,19,204
2235495688,14,340
2235495816,19,204
2235496968,14,340
2235497096,19,204
2235498248,14,340
2235498376,19,204
2235499528,14,341
2235499656,19,204
2235500808,14,339
2235500936,19,204
2235502088,14,339
2235502216,19,204
2235503368,14,340
2235503496,19,204
2235504648,14,340
2235504776,19,204
2235505928,14,340
2235506056,19,204
2235507208,14,342
2235507336,19,206
2235508488,14,341
2235508616,19,204
2235511048,14,340
2235511176,19,204
2235512328,14,340
2235512456,19,204
2235514888,14,340
2235515016,19,204
2235516168,14,340
2235516296,19,205
2235517448,14,340
2235517576,19,204
2235518728,14,340
2235518856,19,204
2235520008,14,340
2235520136,19,204
2235521288,14,340
2235521416,19,204
2235522568,14,339
2235522696,19,203
2235523848,14,340
2235523976,19,204
2235525128,14,340
2235525256,19,204
2235526408,14,340
2235526536,19,204
2235527688,14,343
2235527816,19,206
2235528968,14,341
2235529096,19,204
2235530248,14,340
2235530376,19,205
2235531528,14,341
2235531656,19,205
2235532808,14,341
2235532936,19,205
2235534088,14,340
2235534216,19,204
2235535368,14,341
2235535496,19,205
2235536648,14,340
2235536776,19,204
2235537928,14,340
2235538056,19,205
2235539208,14,341
2235539336,19,205
2235540488,14,340
2235540616,19,204
2235541768,14,340
2235541896,19,204
2235543048,14,339
2235543176,19,203
2235544328,14,340
2235544456,19,204
2235545608,14,339
2235545736,19,204
2235546888,14,340
2235547016,19,204
2235548168,14,340
2235548296,19,205
2235549448,14,340
2235549576,19,204
2235550728,14,340
2235550856,19,205
2235552008,14,341
2235552136,19,205
2235553288,14,339
2235553416,19,204
2235554568,14,340
2235554696,19,204
2235555848,14,340
2235555976,19,204
2235557128,14,339
2235557256,19,203
2235558408,14,340
2235558536,19,204
2235559688,14,340
2235559816,19,204
2235560968,14,339
2235561096,19,204
2235562248,14,339
2235562376,19,204
2235563528,14,340
2235563656,19,204
2235564808,14,340
2235564936,19,204
2235566088,14,340
2235566216,19,204
2235567368,14,340
2235567496,19,204
2235568648,14,339
2235568776,19,204
2235569928,14,339
2235570056,19,204
2235571208,14,340
2235571336,19,204
2235572488,14,339
2235572616,19,204
2235573768,14,339
2235573896,19,204
2235575048,14,339
2235575176,19,204
2235576328,14,340
2235576456,19,204
2235577608,14,340
2235577736,19,204
2235578888,14,340
2235579016,19,204
2235580168,14,340
2235580296,19,205
2235581448,14,341
2235581576,19,205
2235582728,14,340
2235582856,19,204
2235584008,14,340
2235584136,19,204
2235585288,14,339
2235585416,19,204
2235586568,14,341
2235586696,19,204
2235587848,14,340
2235587976,19,204
2235589128,14,341
2235589256,19,205
2235590408,14,340
2235590536,19,204
2235591688,14,339
2235591816,19,204
2235592968,14,340
2235593096,19,204
2235594248,14,340
2235594376,19,204
2235595528,14,339
2235595656,19,204
2235596808,14,339
2235596936,19,204
2235598096,14,339
2235598224,19,204
2235599376,14,339
2235599504,19,204
2235600656,14,339
2235600784,19,204
2235601936,14,339
2235602064,19,204
2235603216,14,339
2235603344,19,204
2235604496,14,340
2235604624,19,204
2235605776,14,340
2235605904,19,204
2235607056,14,339
2235607184,19,204
2235608336,14,339
2235608464,19,204
2235609616,14,339
2235609744,19,204
2235610896,14,339
2235611024,19,204
2235612176,14,339
2235612304,19,204
2235613456,14,340
2235613584,19,204
2235614736,14,339
2235614864,19,204
2235616024,14,339
2235616152,19,204
2235617304,14,340
2235617432,19,204
2235618584,14,339
2235618712,19,204
2235619864,14,340
2235619992,19,204
2235621144,14,340
2235621272,19,204
2235622424,14,339
2235622552,19,204
2235623704,14,339
2235623832,19,204
2235624984,14,339
2235625112,19,205
2235626264,14,339
2235626392,19,204
2235627552,14,339
2235627680,19,204
2235628832,14,340
2235628960,19,204
2235630112,14,340
2235630240,19,204
2235631392,14,339
2235631520,19,204
2235632672,14,339
2235632800,19,204
2235633952,14,340
2235634080,19,204
2235635232,14,339
2235635360,19,204
2235636520,14,339
2235636648,19,204
2235637800,14,340
2235637928,19,204
2235639080,14,339
2235639208,19,204
2235640360,14,341
2235640488,19,205
2235641640,14,339
2235641768,19,204
2235642920,14,339
2235643048,19,204
2235644200,14,339
2235644328,19,203
2235645480,14,340
2235645608,19,204
2235646760,14,339
2235646888,19,204
2235648040,14,339
2235648168,19,204
2235649320,14,339
2235649448,19,204
2235650600,14,339
2235650728,19,204
2235651880,14,339
2235652008,19,204
2235653168,14,340
2235653296,19,204
2235654448,14,340
2235654576,19,204
2235655728,14,340
2235655856,19,204
2235657008,14,339
2235657136,19,204
2235658288,14,340
2235658416,19,204
2235659568,14,340
2235659696,19,204
2235660848,14,339
2235660976,19,204
2235662128,14,339
2235662256,19,204
2235663408,14,339
2235663536,19,204
2235664688,14,339
2235664816,19,204
2235665976,14,339
2235666104,19,204
2235667256,14,339
2235667384,19,204
2235668536,14,339
2235668664,19,204
2235669816,14,340
2235669944,19,204
2235671096,14,340
2235671224,19,204
2235672376,14,340
2235672504,19,204
2235673656,14,339
2235673784,19,204
2235674944,14,340
2235675072,19,204
2235676224,14,339
2235676352,19,204
2235677504,14,339
2235677632,19,204
2235678784,14,340
2235678912,19,204
2235680064,14,340
2235680192,19,204
2235681344,14,339
2235681472,19,204
2235682624,14,340
2235682752,19,204
2235683904,14,340
2235684032,19,204
2235685184,14,340
2235685312,19,204
2235686464,14,340
2235686592,19,204
2235687744,14,339
2235687872,19,204
2235689024,14,339
2235689152,19,204
2235690304,14,339
2235690432,19,204
2235691592,14,339
2235691720,19,204
