TIME,CH,ADC
363370700,34,631
363372010,11,13009
363372117,34,640
363373427,11,12985
363373539,34,643
363374849,11,13025
363374956,34,640
363376265,11,13002
363376372,34,636
363377682,11,13016
363377789,34,641
363379100,11,12997
363379206,34,606
363380522,11,12990
363380629,34,612
363381938,11,12978
363382045,34,606
363383356,11,13011
363383462,34,608
363384772,11,12998
363384879,34,614
363386189,11,13020
363386295,34,624
363387605,11,12974
363387712,34,629
363389022,11,13006
363389128,34,636
363390443,11,13010
363390550,34,635
363391860,11,13000
363391966,34,643
363393277,11,12997
363393384,34,629
363394700,11,12993
363394807,34,626
363396117,11,13011
363396224,34,613
363397540,11,13003
363397647,34,613
363398956,11,13020
363399063,34,609
363400373,11,13074
363400479,34,618
363401789,11,13370
363401896,34,630
363403206,11,12984
363403313,34,632
363404623,11,13029
363404730,34,639
363406041,11,13016
363406147,34,644
363407456,11,13012
363407563,34,636
363408872,11,13028
363408979,34,635
363410290,11,13001
363410396,34,632
363411713,11,13028
363411819,34,626
363413130,11,12997
363413237,34,613
363414552,11,13008
363414658,34,613
363415969,11,12995
363416075,34,607
363417385,11,12996
363417491,34,614
363418802,11,12988
363418909,34,623
363420219,11,12995
363420326,34,624
363421637,11,13006
363421744,34,636
363423054,11,13010
363423160,34,641
363424471,11,13003
363424578,34,638
363425888,11,13003
363425995,34,640
363427304,11,13008
363427410,34,625
363428727,11,12998
363428833,34,618
363430143,11,12993
363430250,34,614
363431565,11,13011
363431671,34,613
363432981,11,12972
363433088,34,608
363434398,11,13006
363434510,34,612
363435821,11,12997
363435928,34,617
363437237,11,13024
363437344,34,630
363438655,11,13023
363438762,34,638
363440072,11,12982
363440178,34,645
363441487,11,13009
363441594,34,641
363442905,11,12987
363443011,34,630
363444321,11,13019
363444428,34,628
363445744,11,13004
363445851,34,616
363447161,11,13032
363447268,34,604
363448578,11,12990
363448685,34,607
363449995,11,13002
363450102,34,612
363451411,11,12999
363451523,34,620
363452833,11,13050
363452940,34,642
363454250,11,12959
363454357,34,630
363455667,11,12992
363455774,34,637
363457084,11,13025
363457190,34,640
363458499,11,12996
363458606,34,638
363459916,11,13006
363460023,34,625
363461333,11,12997
363461443,34,617
363462754,11,12999
363462860,34,612
363464169,11,12998
363464276,34,607
363465586,11,12986
363465692,34,598
363467003,11,12989
363467109,34,608
363468419,11,13003
363468531,34,615
363469841,11,12995
363469948,34,618
363471257,11,13006
363471364,34,632
363472675,11,12996
363472781,34,635
363474092,11,12996
363474199,34,639
363475513,11,12999
363475620,34,634
363476931,11,12994
363477038,34,621
363478348,11,13006
363478455,34,614
363479765,11,13005
363479871,34,605
363481181,11,12999
363481287,34,600
363482598,11,12996
363482704,34,606
363484014,11,13003
363484121,34,608
363485430,11,12998
363485543,34,613
363486853,11,13041
363486960,34,630
363488270,11,12989
363488377,34,636
363489686,11,12981
363489793,34,631
363491104,11,13029
363491211,34,636
363492526,11,12990
363492632,34,632
363493943,11,13001
363494050,34,634
363495360,11,12964
363495466,34,614
363496777,11,12804
363496883,34,608
363498192,11,12990
363498299,34,596
363499609,11,12978
363499716,34,606
363501026,11,12984
