TIME,CH,ADC
3005742072,14,336
3005742208,19,237
3005743352,14,336
3005743480,19,237
3005744624,14,335
3005744752,19,237
3005745896,14,336
3005746024,19,237
3005747160,14,335
3005747288,19,237
3005748432,14,335
3005748560,19,237
3005749704,14,336
3005749832,19,237
3005750976,14,336
3005751104,19,238
3005752248,14,335
3005752376,19,237
3005753520,14,336
3005753648,19,237
3005754784,14,335
3005754912,19,237
3005756056,14,335
3005756184,19,237
3005757328,14,335
3005757456,19,237
3005758600,14,336
3005758728,19,238
3005759872,14,336
3005760000,19,237
3005761144,14,336
3005761272,19,237
3005762416,14,336
3005762544,19,237
3005763688,14,336
3005763816,19,237
3005764960,14,335
3005765088,19,237
3005766232,14,336
3005766360,19,238
3005767504,14,335
3005767632,19,237
3005768776,14,335
3005768904,19,237
3005770048,14,336
3005770176,19,237
3005771320,14,336
3005771448,19,237
3005772592,14,336
3005772720,19,237
3005773856,14,335
3005773984,19,238
3005775128,14,335
3005775256,19,237
3005776400,14,335
3005776528,19,237
3005777672,14,336
3005777800,19,237
3005778952,14,336
3005779080,19,237
3005780224,14,336
3005780352,19,237
3005781496,14,336
3005781624,19,237
3005782768,14,336
3005782896,19,237
3005784040,14,335
3005784168,19,237
3005785312,14,336
3005785440,19,237
3005786584,14,336
3005786712,19,238
3005787856,14,336
3005787984,19,237
3005789128,14,336
3005789256,19,237
3005790400,14,336
3005790528,19,238
3005791672,14,336
3005791800,19,237
3005792944,14,335
3005793072,19,237
3005794216,14,336
3005794344,19,237
3005795488,14,336
3005795616,19,237
3005796760,14,335
3005796888,19,237
3005798032,14,335
3005798160,19,237
3005799304,14,336
3005799432,19,237
3005800576,14,336
3005800704,19,237
3005801848,14,336
3005801976,19,237
3005803120,14,336
3005803248,19,237
3005804392,14,336
3005804520,19,237
3005805664,14,335
3005805792,19,237
3005806936,14,336
3005807064,19,237
3005808208,14,336
3005808336,19,237
3005809480,14,335
3005809608,19,237
3005810752,14,335
3005810880,19,237
3005812024,14,336
3005812152,19,238
3005813296,14,336
3005813424,19,238
3005814568,14,335
3005814696,19,237
3005815840,14,336
3005815968,19,237
3005817112,14,335
3005817240,19,237
3005818384,14,336
3005818512,19,237
3005819656,14,336
3005819784,19,237
3005820936,14,336
3005821064,19,237
3005822208,14,336
3005822336,19,237
3005823480,14,336
3005823608,19,237
3005824752,14,335
3005824880,19,237
3005826024,14,335
3005826152,19,237
3005827296,14,336
3005827424,19,237
3005828568,14,336
3005828696,19,237
3005829840,14,336
3005829968,19,237
3005831112,14,335
3005831240,19,237
3005832384,14,336
3005832512,19,237
3005833656,14,336
3005833784,19,237
3005834928,14,335
3005835056,19,237
3005836200,14,336
3005836328,19,237
3005837472,14,336
3005837600,19,237
3005838736,14,335
3005838864,19,237
3005840008,14,335
3005840136,19,237
3005841280,14,335
3005841416,19,237
3005842560,14,336
3005842688,19,237
3005843832,14,336
3005843960,19,237
3005845104,14,336
3005845232,19,237
3005846368,14,335
3005846496,19,237
3005847640,14,335
3005847768,19,237
3005848912,14,335
3005849040,19,237
3005850184,14,336
3005850312,19,237
3005851456,14,336
3005851584,19,237
3005852720,14,335
3005852848,19,237
3005853992,14,335
3005854120,19,237
3005855264,14,335
3005855392,19,237
3005856536,14,336
3005856664,19,237
3005857808,14,336
3005857936,19,237
3005859080,14,335
3005859208,19,237
3005860352,14,336
3005860480,19,237
3005861624,14,335
3005861752,19,237
3005862896,14,335
3005863032,19,237
3005864176,14,336
3005864304,19,237
3005865448,14,335
3005865576,19,237
3005866720,14,335
3005866848,19,237
3005867992,14,336
3005868120,19,237
3005869256,14,336
3005869384,19,237
3005870528,14,336
3005870656,19,237
3005871800,14,336
3005871928,19,237
3005873072,14,336
3005873200,19,237
3005874344,14,336
3005874472,19,237
3005875616,14,336
3005875744,19,237
3005876888,14,336
3005877016,19,237
3005878160,14,335
3005878288,19,237
3005879432,14,336
3005879560,19,237
3005880696,14,335
3005880824,19,237
3005881968,14,335
3005882096,19,237
3005883240,14,335
3005883368,19,237
3005884512,14,336
3005884640,19,237
3005885776,14,335
3005885904,19,237
3005887048,14,335
3005887176,19,237
3005888320,14,336
3005888448,19,237
3005889592,14,335
3005889720,19,237
3005890856,14,335
3005890984,19,237
3005892128,14,336
3005892256,19,238
3005893400,14,336
3005893528,19,237
3005894672,14,335
3005894800,19,237
3005895944,14,335
3005896072,19,237
3005897216,14,336
3005897344,19,237
3005898488,14,336
3005898616,19,237
3005899752,14,335
3005899880,19,237
3005901024,14,335
3005901152,19,237
3005902288,14,336
3005902416,19,238
3005903560,14,335
3005903688,19,237
3005904832,14,336
3005904960,19,238
3005906104,14,335
3005906232,19,237
3005907376,14,336
3005907504,19,237
3005908648,14,336
3005908776,19,237
3005909920,14,336
3005910048,19,237
3005911192,14,336
3005911320,19,237
3005912464,14,335
3005912592,19,237
3005913736,14,336
3005913864,19,237
3005915008,14,336
3005915144,19,237
3005916280,14,336
3005916408,19,237
3005917552,14,336
3005917680,19,237
3005918816,14,335
3005918944,19,237
3005920088,14,335
3005920216,19,237
3005921360,14,337
3005921488,19,237
3005922632,14,335
3005922760,19,237
3005923904,14,335
3005924032,19,237
3005925176,14,336
3005925304,19,237
3005926448,14,335
3005926576,19,237
3005927720,14,336
3005927848,19,237
3005928992,14,335
3005929120,19,237
3005930264,14,336
3005930392,19,237
3005931536,14,336
3005931664,19,237
3005932808,14,336
3005932936,19,237
3005934080,14,336
3005934208,19,237
3005935352,14,336
3005935480,19,237
3005936624,14,336
3005936760,19,237
3005937904,14,336
3005938032,19,238
3005939176,14,336
3005939304,19,238
3005940448,14,335
3005940576,19,237
3005941720,14,336
3005941848,19,237
3005942992,14,335
3005943120,19,237
3005944264,14,336
3005944392,19,237
3005945536,14,335
3005945664,19,237
3005946808,14,336
3005946936,19,237
3005948080,14,336
3005948208,19,237
3005949352,14,336
3005949480,19,237
3005950624,14,335
3005950752,19,237
3005951896,14,335
3005952024,19,237
3005953160,14,336
3005953288,19,237
3005954432,14,336
3005954560,19,237
3005955696,14,335
3005955824,19,237
3005956968,14,336
3005957096,19,237
3005958240,14,336
3005958368,19,237
3005959512,14,336
3005959640,19,237
3005960776,14,335
3005960904,19,237
3005962048,14,336
3005962176,19,238
3005963320,14,336
3005963448,19,237
3005964592,14,336
3005964720,19,237
3005965856,14,335
3005965984,19,237
3005967128,14,335
3005967256,19,237
3005968400,14,336
3005968528,19,238
3005969672,14,335
3005969800,19,237
3005970944,14,337
3005971072,19,238
3005972216,14,336
3005972344,19,238
3005973488,14,335
3005973624,19,237
3005974768,14,336
3005974896,19,237
3005976040,14,335
3005976168,19,237
3005977312,14,336
3005977440,19,237
3005978584,14,336
3005978712,19,237
3005979856,14,336
3005979984,19,237
3005981128,14,336
3005981256,19,237
3005982400,14,336
3005982528,19,237
3005983664,14,335
3005983792,19,237
3005984936,14,336
3005985064,19,237
3005986208,14,336
3005986336,19,237
3005987480,14,336
3005987608,19,237
3005988744,14,335
3005988872,19,238
3005990016,14,336
3005990144,19,237
3005991280,14,336
3005991408,19,237
3005992552,14,335
3005992680,19,237
3005993824,14,336
3005993952,19,237
3005995096,14,335
3005995224,19,237
3005996368,14,336
3005996496,19,237
3005997640,14,336
3005997768,19,238
3005998912,14,336
3005999040,19,238
3006000184,14,337
3006000312,19,238
3006001456,14,336
3006001584,19,238
3006002728,14,336
3006002856,19,238
3006004000,14,336
3006004128,19,238
179,14,0
3006071432,14,335
3006071560,19,237
3006072704,14,336
3006072840,19,237
3006073976,14,336
3006074104,19,237
3006075240,14,335
3006075368,19,237
3006076512,14,336
3006076640,19,238
3006077784,14,336
3006077912,19,238
3006079056,14,336
3006079184,19,237
3006080328,14,336
3006080456,19,237
3006081600,14,336
3006081728,19,238
3006082872,14,336
3006083000,19,237
3006084144,14,336
3006084272,19,238
3006085416,14,336
3006085544,19,237
3006086680,14,335
3006086808,19,237
3006087952,14,336
3006088080,19,238
3006089224,14,337
3006089352,19,238
3006090496,14,336
3006090624,19,237
3006091768,14,337
3006091896,19,238
3006093040,14,336
3006093168,19,237
3006094304,14,336
3006094432,19,238
3006095576,14,335
3006095704,19,237
3006096848,14,337
3006096976,19,238
3006098120,14,336
3006098248,19,238
3006099392,14,335
3006099520,19,237
3006100664,14,336
3006100792,19,237
3006101936,14,336
3006102064,19,238
3006103208,14,336
3006103336,19,238
3006104480,14,336
3006104608,19,238
3006105752,14,336
3006105880,19,238
3006107024,14,337
3006107152,19,238
3006108296,14,336
3006108424,19,237
3006109568,14,335
3006109704,19,237
3006110840,14,335
3006110968,19,237
3006112112,14,335
3006112240,19,237
3006113384,14,336
3006113512,19,237
3006114656,14,336
3006114784,19,237
3006115928,14,336
3006116056,19,237
3006117200,14,336
3006117328,19,237
3006118472,14,336
3006118600,19,237
3006119736,14,335
3006119864,19,237
3006121008,14,336
3006121136,19,237
3006122272,14,336
3006122400,19,237
3006123544,14,335
3006123672,19,237
3006124816,14,336
3006124944,19,237
3006126088,14,336
3006126216,19,237
3006127352,14,336
3006127480,19,238
3006128624,14,335
3006128752,19,237
3006129896,14,336
3006130024,19,237
3006131168,14,336
3006131296,19,237
3006132440,14,336
3006132568,19,237
3006133712,14,336
3006133840,19,237
3006134984,14,336
3006135112,19,238
3006136256,14,336
3006136384,19,238
3006137528,14,336
3006137656,19,238
3006138800,14,336
3006138928,19,237
3006140072,14,336
3006140200,19,237
3006141344,14,337
3006141472,19,238
3006142616,14,336
3006142744,19,237
3006143880,14,336
3006144008,19,237
3006145152,14,336
