UTC datetime,Wed Aug  9 20:19:48 2023
UTC timestamp,1691612388.69357
`---`,,
{
  "program_name": "Multi Device Example",
  "data_file_prefix": "../analysis_code/thermistor_data/multi_device_example/mde_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "TEST ARDUINO 1",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "duration",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Channel 1",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "00"
        },
        {
          "channel_name": "Channel 2",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "01"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,CH,TIME,ADC
1691612389.1246889,0,11,161375,16383
1691612389.1266575,0,29,162602,13254
1691612389.1266575,0,11,162703,16383
1691612389.1282318,0,29,163930,13242
1691612389.1282318,0,11,164031,16383
1691612389.1283603,0,29,165258,13241
1691612389.1283603,0,11,165359,16383
1691612389.1296942,0,29,166585,13218
1691612389.1296942,0,11,166686,16383
1691612389.1312873,0,29,167913,13002
1691612389.1312873,0,11,168014,16383
1691612389.1332557,0,29,169241,13234
1691612389.1332557,0,11,169342,16383
1691612389.1346457,0,29,170575,13257
1691612389.1346457,0,11,170676,16383
1691612389.1366343,0,29,171903,13228
1691612389.1366343,0,11,172004,16383
1691612389.1367555,0,29,173232,13237
1691612389.1367555,0,11,173333,16383
1691612389.138261,0,29,174566,13228
1691612389.138261,0,11,174667,16383
1691612389.1396828,0,29,175893,13230
1691612389.1396828,0,11,175995,16383
1691612389.141232,0,29,177222,13278
1691612389.141232,0,11,177323,16383
1691612389.1432202,0,29,178556,13246
1691612389.1432202,0,11,178657,16383
1691612389.1433384,0,29,179884,13250
1691612389.1433384,0,11,179985,16383
1691612389.144687,0,29,181213,13227
1691612389.144687,0,11,181314,16383
1691612389.1462684,0,29,182551,13251
1691612389.1462684,0,11,182652,16383
1691612389.1482508,0,29,183880,13181
1691612389.1482508,0,11,183981,16383
1691612389.149641,0,29,185209,13252
1691612389.149641,0,11,185310,16383
1691612389.1497343,0,29,186549,13238
1691612389.1497343,0,11,186650,16383
1691612389.1512723,0,29,187877,13236
1691612389.1512723,0,11,187978,16383
1691612389.1532757,0,29,189205,13239
1691612389.1532757,0,11,189306,16383
1691612389.1546607,0,29,190539,13156
1691612389.1546607,0,11,190640,16383
1691612389.156237,0,29,191867,13246
1691612389.156237,0,11,191968,16383
1691612389.1582124,0,29,193195,13235
1691612389.1582124,0,11,193296,16383
1691612389.158331,0,29,194528,13270
1691612389.158331,0,11,194629,16383
1691612389.159682,0,29,195857,13244
1691612389.159682,0,11,195958,16383
1691612389.161261,0,29,197184,13225
1691612389.161261,0,11,197286,16383
1691612389.1626508,0,29,198519,13260
1691612389.1626508,0,11,198620,16383
1691612389.1646428,0,29,199846,13265
1691612389.1646428,0,11,199948,16383
1691612389.1647656,0,29,201175,13250
1691612389.1647656,0,11,201276,16383
1691612389.1662662,0,29,202509,13223
1691612389.1662662,0,11,202610,16383
1691612389.1676888,0,29,203837,13235
1691612389.1676888,0,11,203938,16383
1691612389.1692386,0,29,205165,13456
1691612389.1692386,0,11,205266,16383
1691612389.1712267,0,29,206493,13211
1691612389.1712267,0,11,206594,16383
1691612389.1713455,0,29,207821,13236
1691612389.1713455,0,11,207923,16383
1691612389.172692,0,29,209150,13245
1691612389.172692,0,11,209251,16383
1691612389.1742754,0,29,210477,13248
1691612389.1742754,0,11,210579,16383
1691612389.1762564,0,29,211806,13247
1691612389.1762564,0,11,211908,16383
