UTC datetime,Sat Jul 23 01:15:06 2022
UTC timestamp,1658564106.886044
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    },
    {
      "channel_name": "v-",
      "pin_id": 12,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1085108,13,0
1085209,12,7620
1086388,13,0
1086489,12,6778
1087669,13,0
1087769,12,6885
1088949,13,0
1089050,12,7127
1090229,13,0
1090329,12,7464
1091515,13,1443
1091616,12,9844
1092840,13,4379
1092941,12,12689
1094164,13,4601
1094264,12,12758
1095488,13,4564
1095589,12,12667
1096811,13,4429
1096912,12,12575
1098135,13,4284
1098236,12,12482
1099459,13,3464
1099560,12,11476
1100786,13,871
1100887,12,9324
1102110,13,0
1102211,12,7225
1103390,13,0
1103491,12,6719
1104672,13,0
1104772,12,6980
1105952,13,0
1106053,12,7248
1107231,13,0
1107332,12,7809
1108518,13,2482
1108619,12,10941
1109841,13,4528
1109941,12,12680
1111164,13,4662
1111265,12,12802
1112489,13,4432
1112590,12,12632
1113812,13,4373
1113913,12,12564
1115135,13,4261
1115236,12,12420
1116460,13,2581
1116560,12,10570
1117782,13,254
1117883,12,8218
1119063,13,0
1119163,12,7015
1120343,13,0
1120444,12,6755
1121625,13,0
1121725,12,6960
1122904,13,0
1123005,12,7332
1124184,13,203
1124285,12,8799
1125465,13,3321
1125566,12,11635
1126789,13,4485
1126890,12,12649
1128113,13,4509
1128214,12,12774
1129442,13,4429
1129543,12,12635
1130766,13,4332
1130867,12,12549
1132089,13,4194
1132189,12,12408
1133412,13,1783
1133518,12,9749
1134741,13,0
1134842,12,7652
1136022,13,0
1136122,12,6753
1137301,13,0
1137402,12,6915
1138588,13,0
1138689,12,7107
1139868,13,0
1139968,12,7468
1141147,13,1242
1141248,12,9655
1142472,13,4482
1142573,12,12724
1143795,13,4535
1143896,12,12725
1145119,13,4566
1145219,12,12687
1146444,13,4431
1146545,12,12563
1147768,13,4303
1147869,12,12574
1149091,13,3650
1149192,12,11707
1150414,13,1058
1150521,12,9039
1151744,13,0
1151844,12,7308
1153024,13,0
1153125,12,6622
1154303,13,0
1154404,12,6889
1155590,13,0
1155691,12,7225
1156870,13,0
1156971,12,7561
1158150,13,2168
1158250,12,10614
1159473,13,4472
1159574,12,12759
1160797,13,4469
1160898,12,12744
1162122,13,4411
1162222,12,12601
1163445,13,4354
1163546,12,12531
1164769,13,4229
1164870,12,12416
1166092,13,2790
1166192,12,10732
1167415,13,0
1167521,12,8323
1168700,13,0
1168801,12,7024
