UTC datetime,Sat Jul 23 01:51:32 2022
UTC timestamp,1658566292.727152
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1069941,35,12760
1070649,35,12704
1071357,35,12780
1072064,35,12712
1072772,35,12767
1073480,35,12777
1074188,35,12756
1074895,35,12762
1075603,35,12761
1076310,35,12755
1077019,35,12771
1077726,35,12755
1078433,35,12766
1079147,35,12762
1079854,35,12761
1080568,35,12652
1081275,35,12766
1081984,35,12750
1082692,35,12761
1083399,35,12756
1084113,35,12751
1084820,35,12761
1085533,35,12768
1086241,35,12763
1086948,35,12769
1087656,35,12761
1088363,35,12762
1089070,35,12763
1089779,35,12763
1090487,35,12832
1091194,35,12764
1091902,35,12712
1092610,35,12763
1093317,35,12747
1094026,35,12770
1094734,35,12762
1095445,35,12762
1096152,35,12762
1096860,35,12764
1097574,35,12779
1098281,35,12764
1098990,35,12764
1099697,35,12765
1100405,35,12769
1101118,35,12758
1101827,35,12770
1102540,35,12756
1103247,35,12768
1103955,35,12756
1104662,35,12770
1105369,35,12761
1106076,35,12768
1106785,35,12763
1107493,35,12762
1108200,35,12757
1108908,35,12768
1109615,35,12764
1110324,35,12766
1111033,35,12784
1111741,35,12765
1112448,35,12783
1113156,35,12758
1113863,35,12757
1114577,35,12773
1115286,35,12756
1115993,35,12763
1116700,35,12761
1117408,35,12772
1118121,35,12756
1118829,35,12769
1119542,35,12749
1120250,35,12748
1120957,35,12761
1121665,35,12757
1122372,35,12766
1123080,35,12740
1123787,35,12767
1124495,35,12763
1125202,35,12770
1125910,35,12763
1126617,35,12763
1127325,35,12760
1128033,35,12761
1128742,35,12768
1129449,35,12760
1130158,35,12768
1130866,35,12764
1131580,35,12765
1132287,35,12757
1132994,35,12738
1133703,35,12761
1134410,35,12757
1135123,35,12765
1135831,35,12779
1136544,35,12761
1137251,35,12760
1137959,35,12764
1138666,35,12765
1139373,35,12758
1140081,35,12769
1140789,35,12761
1141497,35,12774
1142206,35,12763
1142915,35,12724
1143621,35,12748
1144328,35,12765
1145037,35,12762
1145745,35,12759
1146453,35,12759
1147160,35,12767
1147868,35,12756
1148582,35,12764
1149289,35,12763
1149998,35,12783
1150706,35,12767
1151413,35,12758
1152127,35,12750
1152834,35,12758
1153547,35,12763
1154255,35,12756
1154962,35,12763
1155670,35,12747
1156378,35,12763
1157085,35,12756
1157794,35,12763
1158501,35,12760
1159209,35,12768
1159917,35,12742
1160627,35,12763
1161336,35,12767
1162044,35,12768
1162752,35,12756
1163459,35,12758
1164167,35,12770
1164874,35,12763
1165582,35,12758
1166289,35,12766
1166998,35,12759
