UTC datetime,Sat Jul 23 01:52:17 2022
UTC timestamp,1658566337.429521
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1069964,35,12756
1070672,35,12760
1071379,35,12765
1072086,35,12760
1072795,35,12755
1073503,35,12758
1074210,35,12769
1074919,35,12758
1075628,35,12764
1076337,35,12761
1077045,35,12764
1077753,35,12756
1078460,35,12764
1079168,35,12768
1079875,35,12748
1080583,35,12756
1081290,35,12771
1081998,35,12709
1082707,35,12756
1083414,35,12760
1084128,35,12755
1084835,35,12760
1085549,35,12764
1086256,35,12762
1086964,35,12760
1087671,35,12764
1088378,35,12750
1089086,35,12761
1089795,35,12756
1090502,35,12743
1091211,35,12748
1091918,35,12754
1092627,35,12760
1093334,35,12763
1094042,35,12759
1094750,35,12757
1095457,35,12771
1096164,35,12763
1096872,35,12764
1097583,35,12763
1098290,35,12761
1098999,35,12763
1099707,35,12764
1100414,35,12745
1101127,35,12754
1101835,35,12766
1102548,35,12763
1103255,35,12763
1103963,35,12752
1104670,35,12763
1105377,35,12758
1106085,35,12756
1106792,35,12762
1107500,35,12760
1108208,35,12759
1108915,35,12758
1109625,35,12755
1110332,35,12761
1111040,35,12767
1111749,35,12761
1112456,35,12763
1113163,35,12727
1113872,35,12758
1114582,35,12757
1115290,35,12757
1115998,35,12770
1116706,35,12812
1117413,35,12758
1118127,35,12765
1118834,35,12766
1119548,35,12756
1120255,35,12763
1120963,35,12757
1121671,35,12768
1122378,35,12760
1123086,35,12766
1123794,35,12761
1124502,35,12759
1125210,35,12762
1125917,35,12757
1126626,35,12758
1127334,35,12766
1128042,35,12760
1128751,35,12765
1129460,35,12757
1130167,35,12759
1130875,35,12758
1131583,35,12763
1132291,35,12756
1132998,35,12765
1133706,35,12761
1134413,35,12767
1135126,35,12748
1135834,35,12756
1136547,35,12759
1137255,35,12756
1137962,35,12761
1138670,35,12763
1139377,35,12765
1140085,35,12757
1140794,35,12757
1141501,35,12764
1142209,35,12766
1142916,35,12757
1143623,35,12765
1144330,35,12763
1145039,35,12762
1145747,35,12759
1146455,35,12745
1147163,35,12767
1147870,35,12760
1148584,35,12754
1149292,35,12761
1150000,35,12756
1150708,35,12760
1151416,35,12768
1152129,35,12764
1152836,35,12758
1153550,35,12745
1154257,35,12758
1154965,35,12760
1155672,35,12756
1156380,35,12763
1157087,35,12765
1157796,35,12751
1158503,35,12757
1159211,35,12764
1159918,35,12772
1160627,35,12758
1161334,35,12761
1162043,35,12761
1162750,35,12759
1163457,35,12760
1164164,35,12769
1164872,35,12763
1165582,35,12763
1166290,35,12760
1166997,35,12764
