UTC datetime,Sat Jul 23 01:48:54 2022
UTC timestamp,1658566134.599685
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1069956,35,12773
1070665,35,12763
1071372,35,12764
1072080,35,12766
1072788,35,12757
1073496,35,12764
1074204,35,12729
1074912,35,12768
1075619,35,12757
1076327,35,12767
1077035,35,12762
1077742,35,12761
1078449,35,12761
1079157,35,12768
1079864,35,12762
1080577,35,12784
1081284,35,12767
1081993,35,12762
1082701,35,12748
1083408,35,12764
1084122,35,12759
1084829,35,12762
1085542,35,12766
1086250,35,12760
1086957,35,12748
1087665,35,12763
1088372,35,12762
1089079,35,12760
1089788,35,12688
1090496,35,12743
1091205,35,12812
1091912,35,12765
1092620,35,12757
1093327,35,12759
1094035,35,12768
1094743,35,12762
1095451,35,12714
1096159,35,12759
1096867,35,12764
1097581,35,12768
1098288,35,12765
1098997,35,12766
1099705,35,12750
1100412,35,12769
1101126,35,12760
1101833,35,12766
1102546,35,12755
1103254,35,12763
1103961,35,12764
1104668,35,12763
1105375,35,12763
1106083,35,12766
1106791,35,12763
1107499,35,12760
1108207,35,12763
1108914,35,12760
1109623,35,12761
1110331,35,12765
1111039,35,12764
1111746,35,12776
1112453,35,12782
1113160,35,12803
1113868,35,12748
1114582,35,12761
1115289,35,12767
1115997,35,12768
1116705,35,12760
1117412,35,12775
1118126,35,12764
1118833,35,12759
1119547,35,12864
1120254,35,12762
1120962,35,12738
1121670,35,12795
1122377,35,12761
1123085,35,12751
1123793,35,12756
1124501,35,12766
1125209,35,12761
1125916,35,12759
1126624,35,12761
1127331,35,12767
1128040,35,12760
1128748,35,12774
1129456,35,12765
1130163,35,12768
1130871,35,12755
1131582,35,12769
1132289,35,12762
1132998,35,12767
1133706,35,12712
1134414,35,12769
1135127,35,12768
1135834,35,12767
1136548,35,12761
1137255,35,12761
1137962,35,12771
1138670,35,12763
1139377,35,12767
1140085,35,12760
1140793,35,12767
1141501,35,12753
1142208,35,12764
1142916,35,12766
1143623,35,12696
1144331,35,12763
1145039,35,12743
1145746,35,12772
1146454,35,12750
1147162,35,12753
1147870,35,12754
1148583,35,12764
1149291,35,12760
1149999,35,12762
1150707,35,12767
1151414,35,12753
1152128,35,12764
1152837,35,12756
1153550,35,12760
1154258,35,12786
1154965,35,12763
1155673,35,12756
1156380,35,12764
1157087,35,12757
1157796,35,12766
1158504,35,12766
1159211,35,12771
1159920,35,12762
1160628,35,12769
1161335,35,12759
1162043,35,12759
1162752,35,12754
1163461,35,12767
1164168,35,12737
1164876,35,12746
1165584,35,12760
1166291,35,12758
1166999,35,12764
