UTC datetime,Fri Feb 17 23:10:59 2023
UTC timestamp,1676675459.723466
`---`,,
{
  "program_name": "Teaching Example",
  "data_file_prefix": "../analysis_code/teaching_example/example_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "Artemis ATP",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "indefinite",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Thermistor",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "03"
        },
        {
          "channel_name": "Ungrounded",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "voltage",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "Unknown"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,TIME,CH,ADC
1676675460.1491308,0,157051,11,16383
1676675460.151121,0,158277,29,10444
1676675460.151121,0,158378,11,16383
1676675460.1512465,0,159605,29,10563
1676675460.1512465,0,159706,11,16383
1676675460.1525867,0,160932,29,10448
1676675460.1525867,0,161033,11,16383
1676675460.1541681,0,162260,29,10503
1676675460.1541681,0,162361,11,16383
1676675460.1561372,0,163588,29,10476
1676675460.1561372,0,163689,11,16383
1676675460.157551,0,164915,29,10478
1676675460.157551,0,165016,11,16383
1676675460.1576793,0,166243,29,10467
1676675460.1576793,0,166344,11,16383
1676675460.1591728,0,167577,29,10470
1676675460.1591728,0,167678,11,16383
1676675460.161175,0,168904,29,10427
1676675460.161175,0,169005,11,16383
1676675460.1625752,0,170232,29,10466
1676675460.1625752,0,170333,11,16383
1676675460.1641257,0,171565,29,10471
1676675460.1641257,0,171666,11,16383
1676675460.1655328,0,172893,29,10486
1676675460.1655328,0,172994,11,16383
1676675460.165658,0,174221,29,10466
1676675460.165658,0,174322,11,16383
1676675460.1671603,0,175554,29,10460
1676675460.1671603,0,175655,11,16383
1676675460.16916,0,176881,29,10444
1676675460.16916,0,176983,11,16383
1676675460.1705613,0,178209,29,10449
1676675460.1705613,0,178310,11,16383
1676675460.1721191,0,179543,29,10472
1676675460.1721191,0,179644,11,16383
1676675460.1722121,0,180871,29,10452
1676675460.1722121,0,180972,11,16383
1676675460.174254,0,182199,29,10451
1676675460.174254,0,182301,11,16383
1676675460.1755908,0,183539,29,10442
1676675460.1755908,0,183641,11,16383
1676675460.1771357,0,184868,29,10475
1676675460.1771357,0,184969,11,16383
1676675460.1791282,0,186196,29,10449
1676675460.1791282,0,186298,11,16383
1676675460.1792548,0,187531,29,10474
1676675460.1792548,0,187632,11,16383
1676675460.1806166,0,188859,29,10496
1676675460.1806166,0,188961,11,16383
1676675460.1821556,0,190187,29,10471
1676675460.1821556,0,190288,11,16383
1676675460.183576,0,191521,29,10463
1676675460.183576,0,191623,11,16383
1676675460.1851254,0,192849,29,10460
1676675460.1851254,0,192950,11,16383
1676675460.1871147,0,194177,29,10468
1676675460.1871147,0,194279,11,16383
1676675460.187246,0,195512,29,10608
1676675460.187246,0,195613,11,16383
1676675460.1885831,0,196839,29,10481
1676675460.1885831,0,196940,11,16383
1676675460.1901612,0,198167,29,10451
1676675460.1901612,0,198268,11,16383
1676675460.1921415,0,199495,29,10214
1676675460.1921415,0,199596,11,16383
1676675460.1935406,0,200822,29,10462
1676675460.1935406,0,200924,11,16383
1676675460.193666,0,202150,29,10444
1676675460.193666,0,202251,11,16383
1676675460.1951678,0,203478,29,10245
1676675460.1951678,0,203579,11,16383
1676675460.1971684,0,204806,29,10487
1676675460.1971684,0,204908,11,16383
1676675460.1985679,0,206134,29,10465
1676675460.1985679,0,206235,11,16383
1676675460.200121,0,207462,29,10467
1676675460.200121,0,207563,11,16383
1676675460.2002137,0,208790,29,10483
1676675460.2002137,0,208891,11,16383
1676675460.2021968,0,210119,29,10448
1676675460.2021968,0,210220,11,16383
1676675460.2035968,0,211447,29,10449
1676675460.2035968,0,211548,11,16383
1676675460.2051415,0,212776,29,10442
1676675460.2051415,0,212877,11,16383
1676675460.2065558,0,214103,29,10460
1676675460.2065558,0,214204,11,16383
1676675460.208535,0,215437,29,10464
1676675460.208535,0,215539,11,16383
1676675460.2086623,0,216766,29,10471
1676675460.2086623,0,216867,11,16383
1676675460.2101617,0,218093,29,10442
1676675460.2101617,0,218194,11,16383
1676675460.2115822,0,219422,29,10464
1676675460.2115822,0,219529,11,16383
1676675460.2131305,0,220756,29,10497
1676675460.2131305,0,220857,11,16383
1676675460.2151222,0,222085,29,10455
1676675460.2151222,0,222186,11,16383
1676675460.2152505,0,223413,29,10456
1676675460.2152505,0,223520,11,16383
1676675460.2166119,0,224747,29,10468
1676675460.2166119,0,224849,11,16383
1676675460.2181523,0,226075,29,10495
1676675460.2181523,0,226176,11,16383
1676675460.2195706,0,227403,29,10480
1676675460.2195706,0,227510,11,16383
1676675460.221552,0,228737,29,10460
1676675460.221552,0,228839,11,16383
1676675460.2216756,0,230065,29,10445
1676675460.2216756,0,230166,11,16383
1676675460.2231739,0,231394,29,10442
1676675460.2231739,0,231495,11,16383
1676675460.2245972,0,232722,29,10478
1676675460.2245972,0,232823,11,16383
1676675460.2261422,0,234050,29,10374
1676675460.2261422,0,234151,11,16383
1676675460.2281363,0,235377,29,10463
1676675460.2281363,0,235478,11,16383
1676675460.2295344,0,236706,29,10455
1676675460.2295344,0,236807,11,16383
1676675460.2296586,0,238034,29,10461
1676675460.2296586,0,238135,11,16383
1676675460.2311623,0,239361,29,10455
1676675460.2311623,0,239462,11,16383
1676675460.2331622,0,240690,29,10449
1676675460.2331622,0,240791,11,16383
1676675460.2345624,0,242018,29,10455
1676675460.2345624,0,242119,11,16383
1676675460.236117,0,243345,29,10464
1676675460.236117,0,243446,11,16383
1676675460.2362113,0,244674,29,10456
1676675460.2362113,0,244775,11,16383
1676675460.2381902,0,246002,29,10452
1676675460.2381902,0,246103,11,16383
1676675460.2395902,0,247329,29,10464
1676675460.2395902,0,247431,11,16383
1676675460.241136,0,248663,29,10468
1676675460.241136,0,248764,11,16383
1676675460.243129,0,249991,29,10444
1676675460.243129,0,250092,11,16383
1676675460.2432544,0,251319,29,10467
1676675460.2432544,0,251420,11,16383
1676675460.2446175,0,252652,29,10456
1676675460.2446175,0,252754,11,16383
1676675460.2461562,0,253980,29,10456
1676675460.2461562,0,254081,11,16383
1676675460.2475765,0,255308,29,10469
1676675460.2475765,0,255409,11,16383
1676675460.249126,0,256642,29,10483
1676675460.249126,0,256744,11,16383
1676675460.251114,0,257970,29,10481
1676675460.251114,0,258071,11,16383
1676675460.2512405,0,259297,29,10460
1676675460.2512405,0,259399,11,16383
1676675460.2526126,0,260631,29,10452
1676675460.2526126,0,260732,11,16383
1676675460.2541513,0,261959,29,10458
1676675460.2541513,0,262060,11,16383
1676675460.255566,0,263287,29,10488
1676675460.255566,0,263388,11,16383
1676675460.2575407,0,264622,29,10482
1676675460.2575407,0,264723,11,16383
1676675460.2576678,0,265950,29,10476
1676675460.2576678,0,266051,11,16383
1676675460.259168,0,267276,29,10460
1676675460.259168,0,267378,11,16383
1676675460.2605898,0,268605,29,10473
1676675460.2605898,0,268706,11,16383
1676675460.2621357,0,269932,29,10461
1676675460.2621357,0,270033,11,16383
1676675460.2641308,0,271259,29,10476
1676675460.2641308,0,271361,11,16383
1676675460.2642593,0,272588,29,10477
1676675460.2642593,0,272689,11,16383
1676675460.2656097,0,273915,29,10441
1676675460.2656097,0,274016,11,16383
1676675460.2671561,0,275243,29,10442
1676675460.2671561,0,275344,11,16383
1676675460.2691557,0,276576,29,10463
1676675460.2691557,0,276677,11,16383
1676675460.270546,0,277903,29,10457
1676675460.270546,0,278005,11,16383
1676675460.27211,0,279231,29,10470
1676675460.27211,0,279332,11,16383
1676675460.272204,0,280565,29,10459
1676675460.272204,0,280666,11,16383
1676675460.274182,0,281892,29,10466
1676675460.274182,0,281993,11,16383
1676675460.2755704,0,283220,29,10454
1676675460.2755704,0,283321,11,16383
1676675460.2771313,0,284553,29,10460
1676675460.2771313,0,284654,11,16383
1676675460.2791185,0,285882,29,10458
1676675460.2791185,0,285983,11,16383
1676675460.2792351,0,287210,29,10468
1676675460.2792351,0,287311,11,16383
1676675460.2805908,0,288543,29,10537
1676675460.2805908,0,288644,11,16383
1676675460.2821674,0,289871,29,10454
1676675460.2821674,0,289973,11,16383
1676675460.283567,0,291200,29,10464
1676675460.283567,0,291301,11,16383
1676675460.2855465,0,292534,29,10448
1676675460.2855465,0,292635,11,16383
1676675460.285665,0,293862,29,10435
1676675460.285665,0,293963,11,16383
1676675460.287175,0,295190,29,10456
1676675460.287175,0,295291,11,16383
1676675460.2885985,0,296524,29,10451
1676675460.2885985,0,296625,11,16383
1676675460.2901425,0,297852,29,10445
1676675460.2901425,0,297953,11,16383
1676675460.2921371,0,299180,29,10463
1676675460.2921371,0,299282,11,16383
1676675460.2935317,0,300514,29,10463
1676675460.2935317,0,300616,11,16383
1676675460.2936368,0,301843,29,10461
1676675460.2936368,0,301944,11,16383
1676675460.295163,0,303171,29,10453
1676675460.295163,0,303272,11,16383
1676675460.2965837,0,304498,29,10459
1676675460.2965837,0,304600,11,16383
1676675460.298144,0,305826,29,10488
1676675460.298144,0,305927,11,16383
1676675460.3001235,0,307154,29,10464
1676675460.3001235,0,307255,11,16383
1676675460.3002508,0,308481,29,10463
1676675460.3002508,0,308583,11,16383
1676675460.3015888,0,309809,29,10462
1676675460.3015888,0,309910,11,16383
1676675460.3031714,0,311137,29,10471
1676675460.3031714,0,311238,11,16383
1676675460.3051498,0,312464,29,10460
1676675460.3051498,0,312565,11,16383
1676675460.306542,0,313792,29,10474
1676675460.306542,0,313894,11,16383
1676675460.3066404,0,315121,29,10468
1676675460.3066404,0,315222,11,16383
1676675460.3081737,0,316449,29,10460
1676675460.3081737,0,316550,11,16383
1676675460.3101773,0,317777,29,10464
1676675460.3101773,0,317878,11,16383
1676675460.311563,0,319106,29,10448
1676675460.311563,0,319207,11,16383
1676675460.313137,0,320439,29,10457
1676675460.313137,0,320541,11,16383
1676675460.315115,0,321768,29,10457
1676675460.315115,0,321869,11,16383
1676675460.3152432,0,323097,29,10456
1676675460.3152432,0,323198,11,16383
1676675460.3165827,0,324423,29,10446
1676675460.3165827,0,324530,11,16383
1676675460.3181634,0,325759,29,10470
1676675460.3181634,0,325860,11,16383
1676675460.3195531,0,327086,29,10464
1676675460.3195531,0,327187,11,16383
1676675460.321544,0,328414,29,10462
1676675460.321544,0,328521,11,16383
1676675460.321669,0,329748,29,10462
1676675460.321669,0,329849,11,16383
1676675460.3231692,0,331076,29,10456
1676675460.3231692,0,331178,11,16383
1676675460.324592,0,332404,29,10462
1676675460.324592,0,332511,11,16383
1676675460.3261368,0,333738,29,10470
1676675460.3261368,0,333839,11,16383
1676675460.3281307,0,335066,29,10463
1676675460.3281307,0,335167,11,16383
1676675460.328258,0,336393,29,10454
