UTC datetime,Fri Feb 17 22:29:08 2023
UTC timestamp,1676672948.463738
`---`,,
{
  "program_name": "Teaching Example",
  "data_file_prefix": "../analysis_code/teaching_example/example_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "Artemis ATP",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "indefinite",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Thermistor",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "03"
        },
        {
          "channel_name": "Ungrounded",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "voltage",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "Unknown"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,TIME,CH,ADC
1676672948.8128572,0,74814,29,14302
1676672948.8128572,0,74946,11,16383
1676672948.8130972,0,76214,29,14360
1676672948.8130972,0,76315,11,16383
1676672948.8132994,0,77548,29,14367
1676672948.8132994,0,77649,11,16383
1676672948.8134563,0,78877,29,14345
1676672948.8134563,0,78978,11,16383
1676672948.8135974,0,80204,29,14357
1676672948.8135974,0,80305,11,16383
1676672948.8137467,0,81538,29,14356
1676672948.8137467,0,81639,11,16383
1676672948.8144758,0,82867,29,14354
1676672948.8144758,0,82968,11,16383
1676672948.8146245,0,84194,29,14364
1676672948.8146245,0,84296,11,16383
1676672948.8159351,0,85529,29,14355
1676672948.8159351,0,85630,11,16383
1676672948.8174949,0,86857,29,14354
1676672948.8174949,0,86958,11,16383
1676672948.8188996,0,88184,29,14358
1676672948.8188996,0,88286,11,16383
1676672948.8204732,0,89518,29,14346
1676672948.8204732,0,89620,11,16383
1676672948.8224525,0,90847,29,14362
1676672948.8224525,0,90949,11,16383
1676672948.8225994,0,92175,29,14362
1676672948.8225994,0,92276,11,16383
1676672948.8239245,0,93514,29,14348
1676672948.8239245,0,93616,11,16383
1676672948.825483,0,94842,29,14323
1676672948.825483,0,94943,11,16383
1676672948.827468,0,96171,29,14345
1676672948.827468,0,96272,11,16383
1676672948.8288682,0,97499,29,14355
1676672948.8288682,0,97600,11,16383
1676672948.8290007,0,98828,29,14357
1676672948.8290007,0,98929,11,16383
1676672948.830505,0,100156,29,14358
1676672948.830505,0,100257,11,16383
1676672948.8324885,0,101484,29,14351
1676672948.8324885,0,101585,11,16383
1676672948.8338945,0,102813,29,14356
1676672948.8338945,0,102914,11,16383
1676672948.8354552,0,104140,29,14431
1676672948.8354552,0,104241,11,16383
1676672948.8355987,0,105467,29,14352
1676672948.8355987,0,105568,11,16383
1676672948.8375106,0,106795,29,14363
1676672948.8375106,0,106896,11,16383
1676672948.8389153,0,108123,29,14342
1676672948.8389153,0,108224,11,16383
1676672948.8404777,0,109450,29,14365
1676672948.8404777,0,109551,11,16383
1676672948.841888,0,110778,29,14349
1676672948.841888,0,110879,11,16383
1676672948.84387,0,112106,29,14354
1676672948.84387,0,112207,11,16383
1676672948.8440535,0,113439,29,14358
1676672948.8440535,0,113540,11,16383
1676672948.8455,0,114767,29,14351
1676672948.8455,0,114868,11,16383
1676672948.846903,0,116094,29,14368
1676672948.846903,0,116195,11,16383
1676672948.8484674,0,117423,29,14368
1676672948.8484674,0,117530,11,16383
1676672948.8504536,0,118757,29,14310
1676672948.8504536,0,118858,11,16383
1676672948.8505838,0,120084,29,14358
1676672948.8505838,0,120185,11,16383
1676672948.8519278,0,121413,29,14350
1676672948.8519278,0,121520,11,16383
1676672948.8534913,0,122748,29,14338
1676672948.8534913,0,122849,11,16383
1676672948.8548982,0,124076,29,14362
1676672948.8548982,0,124177,11,16383
1676672948.8568878,0,125403,29,14361
1676672948.8568878,0,125510,11,16383
1676672948.85707,0,126737,29,14348
1676672948.85707,0,126838,11,16383
1676672948.8585093,0,128066,29,14369
1676672948.8585093,0,128167,11,16383
1676672948.8599138,0,129394,29,14346
1676672948.8599138,0,129495,11,16383
1676672948.8614762,0,130721,29,14366
1676672948.8614762,0,130822,11,16383
1676672948.863461,0,132049,29,14359
1676672948.863461,0,132150,11,16383
1676672948.8648615,0,133376,29,14360
1676672948.8648615,0,133477,11,16383
1676672948.8649929,0,134703,29,14354
1676672948.8649929,0,134805,11,16383
1676672948.8664985,0,136032,29,14356
1676672948.8664985,0,136133,11,16383
1676672948.8684828,0,137360,29,14393
1676672948.8684828,0,137461,11,16383
1676672948.8698862,0,138687,29,14360
1676672948.8698862,0,138789,11,16383
1676672948.8714485,0,140016,29,14351
1676672948.8714485,0,140117,11,16383
1676672948.8715792,0,141344,29,14354
1676672948.8715792,0,141445,11,16383
1676672948.873509,0,142672,29,14351
1676672948.873509,0,142773,11,16383
1676672948.8749096,0,144000,29,14342
1676672948.8749096,0,144101,11,16383
1676672948.8764718,0,145329,29,14350
1676672948.8764718,0,145430,11,16383
1676672948.8784544,0,146663,29,14348
1676672948.8784544,0,146764,11,16383
1676672948.8785832,0,147991,29,14356
1676672948.8785832,0,148092,11,16383
1676672948.8799288,0,149319,29,14355
1676672948.8799288,0,149420,11,16383
1676672948.8814976,0,150653,29,14357
1676672948.8814976,0,150755,11,16383
1676672948.8829005,0,151982,29,14352
1676672948.8829005,0,152083,11,16383
1676672948.8844593,0,153310,29,14357
1676672948.8844593,0,153411,11,16383
1676672948.8864427,0,154645,29,14361
1676672948.8864427,0,154746,11,16383
1676672948.886577,0,155974,29,14347
1676672948.886577,0,156075,11,16383
1676672948.8879182,0,157302,29,14353
1676672948.8879182,0,157403,11,16383
1676672948.8894815,0,158637,29,14356
1676672948.8894815,0,158738,11,16383
1676672948.8914664,0,159966,29,14363
1676672948.8914664,0,160067,11,16383
1676672948.8928685,0,161293,29,14368
1676672948.8928685,0,161395,11,16383
1676672948.8929977,0,162628,29,14343
1676672948.8929977,0,162729,11,16383
1676672948.894505,0,163957,29,14361
1676672948.894505,0,164058,11,16383
1676672948.8959074,0,165284,29,14342
1676672948.8959074,0,165385,11,16383
1676672948.8974714,0,166618,29,14364
1676672948.8974714,0,166719,11,16383
1676672948.8994596,0,167947,29,14358
1676672948.8994596,0,168048,11,16383
1676672948.8995974,0,169275,29,14347
1676672948.8995974,0,169376,11,16383
1676672948.9009287,0,170603,29,14348
1676672948.9009287,0,170704,11,16383
1676672948.9024932,0,171931,29,14342
1676672948.9024932,0,172032,11,16383
1676672948.904482,0,173258,29,14365
1676672948.904482,0,173360,11,16383
1676672948.9058812,0,174586,29,14355
1676672948.9058812,0,174687,11,16383
1676672948.907442,0,175913,29,14344
1676672948.907442,0,176014,11,16383
1676672948.9075742,0,177241,29,14373
1676672948.9075742,0,177342,11,16383
1676672948.9094994,0,178574,29,14351
1676672948.9094994,0,178675,11,16383
1676672948.9109187,0,179901,29,14305
1676672948.9109187,0,180002,11,16383
1676672948.9124653,0,181229,29,14354
1676672948.9124653,0,181331,11,16383
1676672948.914453,0,182569,29,14362
1676672948.914453,0,182670,11,16383
1676672948.9146264,0,183897,29,14360
1676672948.9146264,0,183998,11,16383
1676672948.915946,0,185225,29,14340
1676672948.915946,0,185326,11,16383
1676672948.9174874,0,186563,29,14348
1676672948.9174874,0,186664,11,16383
1676672948.9189062,0,187891,29,14370
1676672948.9189062,0,187992,11,16383
1676672948.9208827,0,189219,29,14359
1676672948.9208827,0,189320,11,16383
1676672948.9210598,0,190551,29,14358
1676672948.9210598,0,190652,11,16383
1676672948.9225104,0,191879,29,14345
1676672948.9225104,0,191980,11,16383
1676672948.923935,0,193207,29,14356
1676672948.923935,0,193308,11,16383
1676672948.9254766,0,194541,29,14352
1676672948.9254766,0,194642,11,16383
1676672948.9274693,0,195869,29,14356
1676672948.9274693,0,195970,11,16383
1676672948.9288614,0,197197,29,14353
1676672948.9288614,0,197299,11,16383
1676672948.928992,0,198532,29,14349
1676672948.928992,0,198634,11,16383
1676672948.9304984,0,199860,29,14348
1676672948.9304984,0,199961,11,16383
1676672948.9325,0,201188,29,14400
1676672948.9325,0,201289,11,16383
1676672948.9338896,0,202522,29,14350
1676672948.9338896,0,202624,11,16383
1676672948.9354508,0,203851,29,14319
1676672948.9354508,0,203952,11,16383
1676672948.935578,0,205179,29,14370
1676672948.935578,0,205280,11,16383
1676672948.937505,0,206514,29,14351
1676672948.937505,0,206615,11,16383
1676672948.9389267,0,207842,29,14348
1676672948.9389267,0,207943,11,16383
1676672948.9404714,0,209169,29,14341
1676672948.9404714,0,209270,11,16383
1676672948.9418836,0,210496,29,14342
1676672948.9418836,0,210598,11,16383
1676672948.9420593,0,211824,29,14356
1676672948.9420593,0,211925,11,16383
1676672948.9435093,0,213152,29,14358
1676672948.9435093,0,213253,11,16383
1676672948.9455147,0,214479,29,14340
1676672948.9455147,0,214581,11,16383
1676672948.9469118,0,215806,29,14350
1676672948.9469118,0,215908,11,16383
1676672948.9484613,0,217134,29,14352
1676672948.9484613,0,217235,11,16383
1676672948.950443,0,218461,29,14336
1676672948.950443,0,218563,11,16383
1676672948.9506054,0,219790,29,14354
1676672948.9506054,0,219891,11,16383
1676672948.9519334,0,221118,29,14324
1676672948.9519334,0,221219,11,16383
1676672948.9534822,0,222446,29,14355
1676672948.9534822,0,222547,11,16383
1676672948.9549007,0,223774,29,14337
1676672948.9549007,0,223875,11,16383
1676672948.9568741,0,225102,29,14346
1676672948.9568741,0,225203,11,16383
1676672948.9570491,0,226430,29,14347
1676672948.9570491,0,226537,11,16383
1676672948.9585028,0,227765,29,14383
1676672948.9585028,0,227866,11,16383
1676672948.9599252,0,229093,29,14380
1676672948.9599252,0,229195,11,16383
1676672948.9614706,0,230421,29,14355
1676672948.9614706,0,230528,11,16383
1676672948.963463,0,231756,29,14350
1676672948.963463,0,231857,11,16383
1676672948.963639,0,233084,29,14350
1676672948.963639,0,233185,11,16383
1676672948.9649456,0,234411,29,14356
1676672948.9649456,0,234518,11,16383
1676672948.9664974,0,235744,29,14354
1676672948.9664974,0,235845,11,16383
1676672948.968496,0,237072,29,14354
1676672948.968496,0,237173,11,16383
1676672948.9698842,0,238399,29,14382
1676672948.9698842,0,238500,11,16383
1676672948.971444,0,239727,29,14347
1676672948.971444,0,239829,11,16383
1676672948.9715824,0,241056,29,14353
1676672948.9715824,0,241157,11,16383
1676672948.9735212,0,242384,29,14356
1676672948.9735212,0,242485,11,16383
1676672948.9749203,0,243712,29,14342
1676672948.9749203,0,243813,11,16383
1676672948.9764667,0,245039,29,14371
1676672948.9764667,0,245140,11,16383
1676672948.9778736,0,246368,29,14348
1676672948.9778736,0,246469,11,16383
1676672948.9780502,0,247695,29,14349
1676672948.9780502,0,247796,11,16383
1676672948.979521,0,249022,29,14347
1676672948.979521,0,249123,11,16383
1676672948.981506,0,250350,29,14347
1676672948.981506,0,250451,11,16383
1676672948.9829006,0,251678,29,14362
1676672948.9829006,0,251779,11,16383
1676672948.9844556,0,253006,29,14355
1676672948.9844556,0,253107,11,16383
1676672948.9845853,0,254333,29,14364
1676672948.9845853,0,254440,11,16383
1676672948.986536,0,255667,29,14362
1676672948.986536,0,255768,11,16383
1676672948.9879339,0,256994,29,14355
1676672948.9879339,0,257095,11,16383
1676672948.9894774,0,258321,29,14346
1676672948.9894774,0,258422,11,16383
1676672948.9908886,0,259656,29,14359
1676672948.9908886,0,259757,11,16383
1676672948.9928617,0,260984,29,14353
1676672948.9928617,0,261085,11,16383
1676672948.9930382,0,262311,29,14363
1676672948.9930382,0,262412,11,16383
1676672948.994498,0,263645,29,14333
1676672948.994498,0,263746,11,16383
1676672948.9959128,0,264973,29,14346
1676672948.9959128,0,265074,11,16383
1676672948.9974663,0,266301,29,14349
1676672948.9974663,0,266402,11,16383
1676672948.9994519,0,267635,29,14333
1676672948.9994519,0,267736,11,16383
1676672948.9996133,0,268963,29,14415
1676672948.9996133,0,269064,11,16383
1676672949.000939,0,270290,29,14364
1676672949.000939,0,270392,11,16383
1676672949.002526,0,271624,29,14349
1676672949.002526,0,271725,11,16383
1676672949.0044854,0,272952,29,14354
1676672949.0044854,0,273053,11,16383
1676672949.005876,0,274280,29,14345
1676672949.005876,0,274381,11,16383
1676672949.0060465,0,275607,29,14342
1676672949.0060465,0,275708,11,16383
1676672949.0075088,0,276935,29,14357
1676672949.0075088,0,277036,11,16383
1676672949.009513,0,278262,29,14361
1676672949.009513,0,278363,11,16383
1676672949.0108993,0,279591,29,14360
1676672949.0108993,0,279691,11,16383
1676672949.012462,0,280917,29,14362
1676672949.012462,0,281018,11,16383
1676672949.0144448,0,282246,29,14346
1676672949.0144448,0,282347,11,16383
1676672949.01462,0,283579,29,14357
1676672949.01462,0,283680,11,16383
1676672949.0159233,0,284907,29,14349
1676672949.0159233,0,285009,11,16383
1676672949.0174832,0,286236,29,14356
1676672949.0174832,0,286337,11,16383
1676672949.0188878,0,287570,29,14355
1676672949.0188878,0,287671,11,16383
1676672949.0208688,0,288898,29,14386
1676672949.0208688,0,288999,11,16383
1676672949.021028,0,290227,29,14349
1676672949.021028,0,290328,11,16383
1676672949.0225039,0,291560,29,14358
1676672949.0225039,0,291661,11,16383
1676672949.023909,0,292889,29,14347
1676672949.023909,0,292990,11,16383
1676672949.0254736,0,294217,29,14354
1676672949.0254736,0,294318,11,16383
1676672949.0274656,0,295550,29,14357
1676672949.0274656,0,295651,11,16383
1676672949.0276432,0,296879,29,14386
1676672949.0276432,0,296980,11,16383
1676672949.02893,0,298206,29,14350
1676672949.02893,0,298307,11,16383
1676672949.0304933,0,299540,29,14364
1676672949.0304933,0,299642,11,16383
1676672949.0319,0,300868,29,14353
1676672949.0319,0,300969,11,16383
1676672949.0334616,0,302196,29,14345
1676672949.0334616,0,302297,11,16383
1676672949.035446,0,303530,29,14350
1676672949.035446,0,303631,11,16383
1676672949.0356221,0,304857,29,14346
1676672949.0356221,0,304958,11,16383
1676672949.0369246,0,306185,29,14358
1676672949.0369246,0,306286,11,16383
1676672949.038483,0,307520,29,14350
1676672949.038483,0,307621,11,16383
1676672949.0404797,0,308847,29,14355
1676672949.0404797,0,308948,11,16383
1676672949.0418682,0,310176,29,14355
1676672949.0418682,0,310277,11,16383
1676672949.0420148,0,311510,29,14354
1676672949.0420148,0,311611,11,16383
1676672949.043503,0,312837,29,14342
1676672949.043503,0,312939,11,16383
1676672949.045507,0,314166,29,14352
1676672949.045507,0,314267,11,16383
1676672949.046892,0,315494,29,14354
1676672949.046892,0,315595,11,16383
1676672949.0484538,0,316822,29,14375
1676672949.0484538,0,316924,11,16383
1676672949.0485842,0,318150,29,14344
1676672949.0485842,0,318251,11,16383
1676672949.050535,0,319477,29,14355
1676672949.050535,0,319578,11,16383
1676672949.0519164,0,320805,29,14352
1676672949.0519164,0,320906,11,16383
1676672949.0534766,0,322133,29,14346
1676672949.0534766,0,322234,11,16383
1676672949.0548813,0,323461,29,14345
1676672949.0548813,0,323563,11,16383
1676672949.0568647,0,324788,29,14448
1676672949.0568647,0,324889,11,16383
1676672949.0570016,0,326116,29,14353
1676672949.0570016,0,326217,11,16383
1676672949.0584989,0,327444,29,14346
1676672949.0584989,0,327546,11,16383
1676672949.059904,0,328771,29,14267
1676672949.059904,0,328873,11,16383
1676672949.0614674,0,330099,29,14352
1676672949.0614674,0,330200,11,16383
1676672949.0634582,0,331426,29,14360
1676672949.0634582,0,331533,11,16383
1676672949.0636377,0,332761,29,14253
1676672949.0636377,0,332862,11,16383
1676672949.0649252,0,334089,29,14355
1676672949.0649252,0,334190,11,16383
1676672949.0664883,0,335416,29,14363
1676672949.0664883,0,335523,11,16383
1676672949.0678942,0,336750,29,14349
1676672949.0678942,0,336852,11,16383
1676672949.0698745,0,338079,29,14365
1676672949.0698745,0,338180,11,16383
1676672949.0700052,0,339406,29,14343
1676672949.0700052,0,339513,11,16383
1676672949.071508,0,340741,29,14362
1676672949.071508,0,340843,11,16383
1676672949.0729146,0,342069,29,14374
1676672949.0729146,0,342170,11,16383
1676672949.0744793,0,343397,29,14324
1676672949.0744793,0,343498,11,16383
1676672949.0764706,0,344725,29,14340
1676672949.0764706,0,344826,11,16383
1676672949.0778623,0,346052,29,14356
1676672949.0778623,0,346153,11,16383
1676672949.0779917,0,347380,29,14348
1676672949.0779917,0,347481,11,16383
1676672949.0794985,0,348708,29,14355
1676672949.0794985,0,348809,11,16383
1676672949.0815008,0,350036,29,14354
1676672949.0815008,0,350137,11,16383
1676672949.0828876,0,351364,29,14350
1676672949.0828876,0,351465,11,16383
1676672949.084449,0,352693,29,14356
1676672949.084449,0,352794,11,16383
1676672949.084579,0,354021,29,14354
1676672949.084579,0,354122,11,16383
1676672949.0865228,0,355349,29,14358
1676672949.0865228,0,355450,11,16383
1676672949.0879102,0,356677,29,14352
1676672949.0879102,0,356778,11,16383
1676672949.089472,0,358005,29,14344
1676672949.089472,0,358106,11,16383
1676672949.0914614,0,359333,29,14353
1676672949.0914614,0,359440,11,16383
1676672949.0916383,0,360667,29,14361
1676672949.0916383,0,360768,11,16383
1676672949.0929315,0,361996,29,14349
1676672949.0929315,0,362097,11,16383
1676672949.0944924,0,363324,29,14372
1676672949.0944924,0,363425,11,16383
1676672949.0958982,0,364658,29,14355
1676672949.0958982,0,364759,11,16383
1676672949.0974615,0,365988,29,14348
1676672949.0974615,0,366089,11,16383
1676672949.0994437,0,367316,29,14350
1676672949.0994437,0,367418,11,16383
1676672949.099604,0,368650,29,14356
1676672949.099604,0,368752,11,16383
1676672949.1009204,0,369980,29,14369
1676672949.1009204,0,370081,11,16383
1676672949.1025221,0,371307,29,14354
1676672949.1025221,0,371408,11,16383
1676672949.1044796,0,372642,29,14354
1676672949.1044796,0,372743,11,16383
1676672949.105868,0,373969,29,14353
1676672949.105868,0,374070,11,16383
1676672949.105997,0,375296,29,14363
1676672949.105997,0,375398,11,16383
1676672949.1075037,0,376631,29,14348
1676672949.1075037,0,376732,11,16383
1676672949.108909,0,377959,29,14355
1676672949.108909,0,378060,11,16383
1676672949.1104836,0,379286,29,14352
1676672949.1104836,0,379387,11,16383
1676672949.1124618,0,380621,29,14353
1676672949.1124618,0,380722,11,16383
1676672949.1126356,0,381948,29,14356
1676672949.1126356,0,382049,11,16383
1676672949.113929,0,383276,29,14348
1676672949.113929,0,383377,11,16383
1676672949.1154923,0,384604,29,14351
1676672949.1154923,0,384705,11,16383
1676672949.1174946,0,385931,29,14346
1676672949.1174946,0,386032,11,16383
1676672949.1188817,0,387259,29,14363
1676672949.1188817,0,387360,11,16383
1676672949.1204424,0,388587,29,14331
1676672949.1204424,0,388688,11,16383
1676672949.120571,0,389915,29,14353
1676672949.120571,0,390017,11,16383
1676672949.122522,0,391243,29,14355
1676672949.122522,0,391344,11,16383
1676672949.1239038,0,392577,29,14357
1676672949.1239038,0,392678,11,16383
1676672949.1254795,0,393903,29,14349
1676672949.1254795,0,394005,11,16383
1676672949.1274557,0,395231,29,14355
1676672949.1274557,0,395332,11,16383
1676672949.1276362,0,396565,29,14359
1676672949.1276362,0,396667,11,16383
1676672949.1289246,0,397893,29,14349
1676672949.1289246,0,397994,11,16383
1676672949.1305077,0,399220,29,14366
1676672949.1305077,0,399322,11,16383
1676672949.1318944,0,400555,29,14354
1676672949.1318944,0,400656,11,16383
1676672949.133879,0,401883,29,14373
1676672949.133879,0,401985,11,16383
1676672949.1340387,0,403211,29,14341
1676672949.1340387,0,403312,11,16383
1676672949.135508,0,404545,29,14361
1676672949.135508,0,404646,11,16383
1676672949.1369152,0,405873,29,14356
1676672949.1369152,0,405974,11,16383
1676672949.1384933,0,407201,29,14349
1676672949.1384933,0,407302,11,16383
1676672949.1404705,0,408535,29,14350
1676672949.1404705,0,408637,11,16383
1676672949.1418626,0,409863,29,14350
1676672949.1418626,0,409964,11,16383
1676672949.1419938,0,411191,29,14353
1676672949.1419938,0,411292,11,16383
1676672949.1434987,0,412525,29,14354
1676672949.1434987,0,412627,11,16383
1676672949.1455007,0,413853,29,14351
1676672949.1455007,0,413954,11,16383
1676672949.1468906,0,415180,29,14349
1676672949.1468906,0,415282,11,16383
1676672949.1484604,0,416515,29,14350
1676672949.1484604,0,416616,11,16383
1676672949.1486359,0,417842,29,14368
1676672949.1486359,0,417944,11,16383
1676672949.1505284,0,419171,29,14360
1676672949.1505284,0,419272,11,16383
1676672949.1519089,0,420498,29,14341
1676672949.1519089,0,420600,11,16383
1676672949.1534872,0,421827,29,14356
1676672949.1534872,0,421928,11,16383
1676672949.154875,0,423155,29,14342
1676672949.154875,0,423256,11,16383
1676672949.1550071,0,424482,29,14353
1676672949.1550071,0,424583,11,16383
1676672949.1565094,0,425811,29,14352
1676672949.1565094,0,425912,11,16383
1676672949.1585143,0,427138,29,14405
1676672949.1585143,0,427239,11,16383
1676672949.1598983,0,428465,29,14352
1676672949.1598983,0,428566,11,16383
1676672949.16147,0,429793,29,14362
1676672949.16147,0,429895,11,16383
1676672949.1634462,0,431121,29,14358
1676672949.1634462,0,431223,11,16383
1676672949.1636236,0,432449,29,14357
1676672949.1636236,0,432550,11,16383
1676672949.1649184,0,433777,29,14334
1676672949.1649184,0,433878,11,16383
1676672949.166502,0,435105,29,14362
1676672949.166502,0,435206,11,16383
1676672949.1678884,0,436438,29,14360
1676672949.1678884,0,436540,11,16383
1676672949.1698766,0,437767,29,14345
1676672949.1698766,0,437868,11,16383
1676672949.1700513,0,439096,29,14363
1676672949.1700513,0,439197,11,16383
1676672949.1715045,0,440423,29,14367
1676672949.1715045,0,440530,11,16383
1676672949.1729095,0,441758,29,14357
1676672949.1729095,0,441859,11,16383
1676672949.1744866,0,443086,29,14354
1676672949.1744866,0,443187,11,16383
1676672949.1764636,0,444413,29,14355
1676672949.1764636,0,444520,11,16383
1676672949.176636,0,445748,29,14354
1676672949.176636,0,445849,11,16383
1676672949.1779304,0,447076,29,14427
1676672949.1779304,0,447177,11,16383
1676672949.1795154,0,448403,29,14362
1676672949.1795154,0,448510,11,16383
1676672949.1814926,0,449737,29,14350
1676672949.1814926,0,449838,11,16383
1676672949.1828818,0,451064,29,14360
1676672949.1828818,0,451165,11,16383
1676672949.1844468,0,452392,29,14344
