SET,MEAS,R11,T11,R29,T29
45,41.3,5171.8766542187,40.7278127980277,5272.09553248078,40.2488252314241
50,43,4890.79686570665,42.1282393047929,4992.51553098977,41.6104609458812
55,47.6,4205.83570695028,45.9655765509857,4309.29446797416,45.3411451319377
60,51,3773.06136237244,48.7791966260217,3877.13110730885,48.0691167795697
65,53.3,3489.18346686452,50.8330891002757,3567.49080965509,50.2470912303366
70,56.9,3142.90013047355,53.6152635585402,3232.83148009615,52.8590998805585
75,62.3,2648.27967835977,58.2667176479967,2714.06158861693,57.5917176896231
80,67.6,2246.76446947517,62.8462982157085,2277.32574659595,62.4643447836068
84.7,70.5,2068.85891004217,65.1875336916962,2095.72685181031,64.8176693867883
