UTC datetime,Sat Jul 23 01:13:39 2022
UTC timestamp,1658564019.838223
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 20,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    },
    {
      "channel_name": "v-",
      "pin_id": 12,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1085861,13,0
1085962,12,0
1087098,13,0
1087199,12,0
1088335,13,0
1088441,12,0
1089578,13,3565
1089679,12,755
1090902,13,16383
1091002,12,4012
1092225,13,16383
1092326,12,3456
1093554,13,16383
1093655,12,3042
1094877,13,16383
1094978,12,1626
1096200,13,0
1096301,12,0
1097443,13,0
1097543,12,0
1098680,13,0
1098781,12,0
1099917,13,0
1100018,12,0
1101154,13,0
1101255,12,0
1102392,13,0
1102493,12,0
1103629,13,0
1103730,12,0
1104866,13,0
1104966,12,0
1106102,13,1425
1106202,12,415
1107426,13,16383
1107533,12,4081
1108756,13,16383
1108857,12,3570
1110080,13,16383
1110180,12,3052
1111402,13,16383
1111503,12,1945
1112727,13,0
1112828,12,0
1113964,13,0
1114064,12,0
1115200,13,0
1115300,12,0
1116442,13,0
1116543,12,0
1117678,13,0
1117779,12,0
1118916,13,0
1119016,12,0
1120153,13,0
1120254,12,0
1121390,13,0
1121491,12,0
1122628,13,648
1122729,12,160
1123909,13,16383
1124009,12,3977
1125232,13,16383
1125332,12,3519
1126562,13,16383
1126662,12,3134
1127885,13,16383
1127985,12,2485
1129208,13,0
1129308,12,0
1130445,13,0
1130546,12,0
1131683,13,0
1131783,12,0
1132920,13,0
1133020,12,0
1134157,13,0
1134257,12,0
1135394,13,0
1135495,12,0
1136631,13,0
1136732,12,0
1137868,13,0
1137969,12,0
1139105,13,46
1139205,12,0
1140342,13,16383
1140444,12,4088
1141667,13,16383
1141768,12,3675
1142991,13,16383
1143092,12,3134
1144315,13,16383
1144416,12,2892
1145646,13,0
1145746,12,0
1146883,13,0
1146983,12,0
1148120,13,0
1148220,12,0
1149357,13,0
1149458,12,0
1150595,13,0
1150695,12,0
1151832,13,0
1151933,12,0
1153069,13,0
1153170,12,0
1154307,13,0
1154407,12,0
1155555,13,0
1155656,12,0
1156792,13,16383
1156893,12,4231
1158117,13,16383
1158217,12,3571
1159444,13,16383
1159545,12,3179
1160768,13,16383
1160869,12,2942
1162092,13,0
1162192,12,0
1163328,13,0
1163429,12,0
1164577,13,0
1164677,12,0
1165813,13,0
1165914,12,0
1167051,13,0
1167152,12,0
1168288,13,0
1168389,12,0
1169537,13,0
1169638,12,0
1170774,13,0
1170875,12,0
1172012,13,0
1172112,12,0
