UTC datetime,Sat Jul 23 01:41:17 2022
UTC timestamp,1658565677.06254
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    },
    {
      "channel_name": "v-",
      "pin_id": 12,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1087741,13,10488
1087842,12,16383
1089066,13,10509
1089166,12,16383
1090389,13,10490
1090490,12,16383
1091714,13,10534
1091815,12,16383
1093038,13,10495
1093138,12,16383
1094360,13,10601
1094462,12,16383
1095685,13,10482
1095785,12,16383
1097008,13,10494
1097108,12,16383
1098332,13,10475
1098432,12,16383
1099662,13,10477
1099762,12,16383
1100985,13,10485
1101086,12,16383
1102309,13,10513
1102409,12,16383
1103638,13,10470
1103739,12,16383
1104962,13,10513
1105063,12,16383
1106285,13,10499
1106386,12,16383
1107615,13,10527
1107716,12,16383
1108939,13,10546
1109040,12,16383
1110263,13,10475
1110364,12,16383
1111587,13,10490
1111687,12,16383
1112910,13,10528
1113011,12,16383
1114234,13,10550
1114335,12,16383
1115564,13,10565
1115664,12,16383
1116888,13,10486
1116988,12,16383
1118211,13,10559
1118312,12,16383
1119541,13,10349
1119642,12,16383
1120865,13,10520
1120965,12,16383
1122188,13,10541
1122289,12,16383
1123517,13,10409
1123617,12,16383
1124840,13,10490
1124940,12,16383
1126164,13,10544
1126265,12,16383
1127489,13,10470
1127590,12,16383
1128813,13,10489
1128913,12,16383
1130137,13,10498
1130237,12,16383
1131460,13,10478
1131561,12,16383
1132784,13,10492
1132884,12,16383
1134107,13,10559
1134208,12,16383
1135430,13,10512
1135536,12,16383
1136759,13,10385
1136860,12,16383
1138082,13,10519
1138183,12,16383
1139406,13,10519
1139512,12,16383
1140736,13,10514
1140837,12,16383
1142060,13,10547
1142161,12,16383
1143383,13,10487
1143484,12,16383
1144708,13,10535
1144809,12,16383
1146032,13,10522
1146132,12,16383
1147356,13,10522
1147457,12,16383
1148680,13,10547
1148781,12,16383
1150004,13,10532
1150105,12,16383
1151328,13,10487
1151428,12,16383
1152657,13,10466
1152758,12,16383
1153981,13,10506
1154082,12,16383
1155305,13,10494
1155405,12,16383
1156634,13,10542
1156735,12,16383
1157959,13,10465
1158059,12,16383
1159282,13,10474
1159383,12,16383
1160606,13,10487
1160707,12,16383
1161930,13,10522
1162030,12,16383
1163253,13,10483
1163354,12,16383
1164577,13,10504
1164678,12,16383
1165901,13,10549
1166001,12,16383
1167224,13,10484
1167325,12,16383
1168553,13,10433
1168654,12,16383
1169876,13,10462
1169977,12,16383
1171199,13,10529
