UTC datetime,Sat Jul 23 01:16:55 2022
UTC timestamp,1658564215.832117
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
1290382,12,8758
1291604,13,0
1291705,12,7151
1292885,13,0
1292986,12,6683
1294166,13,0
1294266,12,6986
1295447,13,0
1295547,12,7308
1296728,13,0
1296828,12,7828
1298009,13,2514
1298109,12,11043
1299332,13,4577
1299433,12,12708
1300662,13,4588
1300762,12,12776
1301986,13,4313
1302086,12,12662
1303308,13,4326
1303409,12,12563
1304638,13,4239
1304738,12,12392
1305961,13,2451
1306061,12,10492
1307285,13,180
1307385,12,8067
1308577,13,0
1308677,12,6964
1309856,13,0
1309957,12,6804
1311138,13,0
1311238,12,7125
1312417,13,0
1312524,12,7220
1313703,13,434
1313804,12,8924
1315026,13,3430
1315127,12,11851
1316350,13,4588
1316451,12,12717
1317675,13,4610
1317776,12,12721
1318999,13,4394
1319099,12,12571
1320322,13,4344
1320422,12,12522
1321652,13,4163
1321752,12,12349
1322975,13,1453
1323076,12,9554
1324302,13,0
1324403,12,7660
1325588,13,0
1325688,12,6777
1326868,13,0
1326968,12,6937
1328147,13,0
1328248,12,7199
1329427,13,0
1329533,12,7548
1330714,13,1557
1330815,12,10003
1332037,13,4465
1332138,12,12719
1333361,13,4601
1333462,12,12654
1334685,13,4530
1334786,12,12627
1336008,13,4396
1336109,12,12609
1337331,13,4280
1337431,12,12492
1338661,13,3509
1338761,12,11451
1339984,13,855
1340085,12,8845
1341307,13,0
1341408,12,7258
1342594,13,0
1342694,12,6733
1343873,13,0
1343974,12,7012
1345154,13,0
1345255,12,7274
1346441,13,0
1346541,12,7607
1347721,13,2568
1347822,12,10905
1349045,13,4516
1349145,12,12843
1350368,13,4586
1350469,12,12713
1351693,13,4412
1351794,12,12596
1353017,13,4352
1353117,12,12563
1354340,13,4220
1354444,12,12369
1355668,13,2642
1355769,12,10499
1356991,13,44
1357092,12,8149
1358271,13,0
1358372,12,6946
1359556,13,0
1359657,12,6766
1360836,13,0
1360937,12,7049
1362116,13,0
1362217,12,7323
1363396,13,161
1363497,12,8602
1364677,13,3220
1364778,12,11622
1366001,13,4527
1366102,12,12727
