UTC datetime,Sat Jul 23 01:05:58 2022
UTC timestamp,1658563558.527736
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 20,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    },
    {
      "channel_name": "v-",
      "pin_id": 12,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1080126,13,0
1080226,12,0
1081362,13,0
1081463,12,0
1082600,13,0
1082701,12,0
1083837,13,0
1083938,12,0
1085075,13,0
1085175,12,0
1086312,13,0
1086412,12,0
1087561,13,0
1087661,12,0
1088798,13,5426
1088898,12,16383
1090120,13,4910
1090221,12,16383
1091445,13,4393
1091546,12,16383
1092768,13,4197
1092869,12,16383
1094092,13,0
1094192,12,0
1095328,13,0
1095429,12,0
1096576,13,0
1096677,12,0
1097814,13,0
1097914,12,0
1099051,13,0
1099152,12,0
1100288,13,0
1100389,12,0
1101537,13,0
1101638,12,0
1102774,13,0
1102874,12,0
1104011,13,0
1104111,12,0
1105247,13,5404
1105348,12,16383
1106578,13,5021
1106678,12,16383
1107901,13,4533
1108002,12,16383
1109224,13,3881
1109325,12,16383
1110554,13,0
1110654,12,0
1111790,13,0
1111891,12,0
1113027,13,0
1113128,12,0
1114264,13,0
1114364,12,0
1115501,13,0
1115602,12,0
1116738,13,0
1116839,12,0
1117975,13,0
1118076,12,0
1119212,13,0
1119313,12,0
1120450,13,0
1120551,12,0
1121687,13,4536
1121788,12,16383
1123011,13,5141
1123112,12,16383
1124335,13,4684
1124442,12,16383
1125665,13,4212
1125765,12,16383
1126988,13,0
1127089,12,5204
1128269,13,0
1128369,12,0
1129511,13,0
1129612,12,0
1130749,13,0
1130849,12,0
1131985,13,0
1132086,12,0
1133222,13,0
1133323,12,0
1134460,13,0
1134561,12,0
1135697,13,0
1135798,12,0
1136934,13,0
1137034,12,0
1138171,13,3482
1138272,12,16383
1139496,13,5115
1139597,12,16383
1140820,13,4742
1140920,12,16383
1142144,13,4195
1142244,12,16383
1143468,13,432
1143569,12,7758
1144793,13,0
1144893,12,0
1146030,13,0
1146130,12,0
1147267,13,0
1147368,12,0
1148505,13,0
1148606,12,0
1149742,13,0
1149843,12,0
1150979,13,0
1151079,12,0
1152216,13,0
1152316,12,0
1153453,13,0
1153554,12,0
1154690,13,2684
1154791,12,16383
1156014,13,5326
1156115,12,16383
1157338,13,4840
1157444,12,16383
1158669,13,4278
1158769,12,16383
1159992,13,792
1160093,12,10596
1161315,13,0
1161416,12,0
1162564,13,0
1162664,12,0
1163800,13,0
1163901,12,0
1165037,13,0
1165138,12,0
1166273,13,0
1166374,12,0
