UTC datetime,Sat Jul 23 01:54:23 2022
UTC timestamp,1658566463.712094
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 30,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1066382,35,4382
1067089,35,4590
1067798,35,4446
1068511,35,4274
1069219,35,4373
1069926,35,4325
1070633,35,4379
1071340,35,4377
1072049,35,4377
1072757,35,4372
1073465,35,4376
1074172,35,4369
1074880,35,4399
1075588,35,4383
1076296,35,4379
1077005,35,4386
1077712,35,4407
1078421,35,4416
1079134,35,3758
1079842,35,4392
1080555,35,4502
1081264,35,4382
1081972,35,4383
1082680,35,4370
1083388,35,4375
1084101,35,4380
1084810,35,4161
1085523,35,4509
1086231,35,4376
1086938,35,4394
1087646,35,4385
1088354,35,4378
1089062,35,4379
1089770,35,4376
1090478,35,4378
1091186,35,4376
1091893,35,4382
1092601,35,4382
1093308,35,4386
1094016,35,4389
1094724,35,4372
1095432,35,4391
1096146,35,4343
1096853,35,4381
1097567,35,4380
1098274,35,4388
1098982,35,4381
1099689,35,4307
1100398,35,4379
1101111,35,4402
1101820,35,4388
1102533,35,4377
1103242,35,4314
1103951,35,4379
1104659,35,4379
1105366,35,4378
1106074,35,4378
1106782,35,4505
1107490,35,4382
1108197,35,4376
1108905,35,4384
1109612,35,4385
1110319,35,4246
1111028,35,4383
1111735,35,4387
1112444,35,4383
1113152,35,4384
1113859,35,4375
1114573,35,4346
1115280,35,4386
1115988,35,4380
1116696,35,4372
1117403,35,4383
1118117,35,4377
1118824,35,4376
1119537,35,4384
1120245,35,4369
1120952,35,4134
1121660,35,4225
1122367,35,4335
1123074,35,4203
1123782,35,4384
1124490,35,4382
1125198,35,4731
1125905,35,4384
1126613,35,4383
1127320,35,4380
1128028,35,4389
1128737,35,4391
1129445,35,4384
1130153,35,4386
1130860,35,4380
1131574,35,4381
1132281,35,4739
1132990,35,4398
1133698,35,4327
1134407,35,4353
1135121,35,4376
1135829,35,4368
1136542,35,4381
1137249,35,4379
1137957,35,4376
1138664,35,4379
1139371,35,4378
1140078,35,4378
1140787,35,4385
1141494,35,4269
1142203,35,4383
1142911,35,4385
1143618,35,4388
1144325,35,4404
1145033,35,4389
1145742,35,4502
1146449,35,4384
1147157,35,4267
1147865,35,4374
1148578,35,4383
1149285,35,4375
1149993,35,4382
1150700,35,4389
1151408,35,4319
1152121,35,4382
1152830,35,4290
1153543,35,4362
1154250,35,4378
1154958,35,4221
1155667,35,4381
1156374,35,4366
1157081,35,4463
1157789,35,4374
1158497,35,4387
1159204,35,4385
1159912,35,4388
1160619,35,4387
1161326,35,4380
1162035,35,4383
1162743,35,4382
1163450,35,4390
