UTC datetime,Sat Jul 23 00:52:03 2022
UTC timestamp,1658562723.440298
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 20,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    },
    {
      "channel_name": "v-",
      "pin_id": 12,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1080523,13,0
1080624,12,5577
1081803,13,0
1081904,12,5423
1083083,13,0
1083183,12,5772
1084363,13,0
1084464,12,5406
1085645,13,0
1085746,12,6543
1086926,13,0
1087027,12,5434
1088206,13,0
1088306,12,5858
1089487,13,785
1089588,12,12503
1090811,13,16383
1090912,12,16383
1092135,13,16383
1092236,12,16383
1093460,13,16383
1093561,12,16383
1094783,13,16383
1094884,12,16383
1096107,13,0
1096208,12,6000
1097387,13,0
1097488,12,5236
1098669,13,0
1098769,12,5397
1099950,13,0
1100050,12,5821
1101229,13,0
1101329,12,7188
1102516,13,0
1102616,12,5303
1103796,13,0
1103897,12,5345
1105077,13,0
1105177,12,6052
1106356,13,14228
1106458,12,16383
1107681,13,16383
1107781,12,16383
1109004,13,16383
1109105,12,16383
1110328,13,16383
1110428,12,16383
1111657,13,6814
1111758,12,12016
1112980,13,0
1113080,12,5273
1114260,13,0
1114361,12,5292
1115545,13,0
1115645,12,5894
1116825,13,0
1116926,12,5551
1118105,13,0
1118206,12,4512
1119385,13,0
1119486,12,6445
1120665,13,0
1120766,12,5704
1121946,13,0
1122046,12,6041
1123226,13,16383
1123326,12,16383
1124555,13,16383
1124655,12,16383
1125879,13,16383
1125979,12,16383
1127202,13,16383
1127302,12,16383
1128531,13,0
1128632,12,6026
1129812,13,0
1129912,12,5680
1131093,13,0
1131193,12,5281
1132372,13,0
1132474,12,6409
1133654,13,0
1133755,12,5575
1134934,13,0
1135034,12,5501
1136213,13,0
1136314,12,6112
1137494,13,0
1137595,12,6432
1138774,13,0
1138875,12,6665
1140054,13,16383
1140155,12,16383
1141377,13,16383
1141478,12,16383
1142702,13,16383
1142803,12,16383
1144026,13,16383
1144126,12,16383
1145349,13,0
1145450,12,6134
1146630,13,0
1146731,12,5599
1147911,13,0
1148012,12,5351
1149191,13,0
1149291,12,6987
1150472,13,0
1150573,12,6021
1151754,13,0
1151854,12,5460
1153034,13,0
1153134,12,5739
1154314,13,0
1154415,12,5345
1155601,13,0
1155702,12,7974
1156882,13,16383
1156983,12,16383
1158205,13,16383
1158306,12,16383
1159535,13,16383
1159635,12,16383
1160859,13,16383
1160959,12,16383
1162183,13,0
1162284,12,6050
1163464,13,0
1163565,12,5750
1164746,13,0
1164846,12,5313
