UTC datetime,Sat Jul 23 01:49:52 2022
UTC timestamp,1658566192.657374
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1068793,35,4369
1069500,35,4357
1070209,35,4367
1070917,35,4318
1071624,35,4319
1072333,35,4374
1073042,35,4371
1073749,35,4376
1074456,35,4373
1075164,35,4437
1075871,35,4375
1076585,35,4372
1077292,35,4375
1077999,35,4378
1078707,35,4398
1079414,35,4380
1080127,35,4369
1080836,35,4479
1081549,35,4375
1082256,35,4647
1082964,35,4367
1083672,35,4431
1084379,35,4367
1085086,35,4239
1085795,35,4387
1086503,35,4358
1087212,35,4374
1087919,35,4380
1088628,35,4369
1089336,35,4372
1090044,35,4356
1090751,35,4372
1091459,35,4357
1092166,35,4498
1092874,35,4391
1093584,35,4430
1094291,35,4764
1095000,35,3945
1095708,35,4375
1096417,35,4374
1097130,35,4373
1097837,35,4372
1098551,35,4368
1099258,35,4365
1099966,35,4360
1100673,35,4463
1101382,35,4952
1102089,35,4391
1102798,35,4341
1103511,35,4364
1104219,35,4370
1104926,35,4369
1105633,35,4377
1106340,35,4373
1107049,35,4371
1107757,35,4362
1108465,35,4373
1109172,35,4378
1109880,35,4661
1110587,35,4374
1111295,35,4376
1112003,35,4492
1112712,35,4380
1113419,35,4383
1114134,35,4365
1114841,35,4376
1115555,35,4373
1116264,35,4374
1116971,35,4378
1117679,35,4371
1118386,35,4351
1119101,35,4371
1119808,35,4366
1120522,35,4292
1121229,35,4370
1121937,35,4368
1122644,35,4370
1123351,35,4398
1124059,35,4380
1124766,35,4377
1125475,35,4362
1126182,35,4373
1126890,35,4375
1127597,35,4377
1128305,35,4382
1129013,35,4373
1129722,35,4335
1130429,35,4371
1131143,35,4438
1131850,35,4375
1132564,35,4374
1133272,35,4368
1133980,35,4368
1134688,35,4369
1135396,35,4373
1136109,35,4368
1136816,35,4368
1137529,35,4371
1138237,35,4363
1138944,35,4363
1139652,35,4370
1140359,35,4376
1141066,35,4374
1141774,35,4353
1142483,35,4364
1143190,35,4373
1143898,35,4369
1144605,35,4375
1145312,35,4372
1146021,35,4363
1146728,35,4368
1147442,35,4363
1148149,35,4410
1148857,35,4268
1149571,35,4332
1150279,35,4354
1150988,35,4372
1151696,35,4364
1152403,35,4376
1153117,35,4369
1153825,35,4390
1154539,35,4371
1155246,35,4558
1155954,35,4391
1156662,35,4393
1157370,35,4371
1158077,35,4375
1158785,35,4372
1159493,35,4413
1160200,35,4181
1160908,35,4378
1161615,35,4374
1162322,35,4375
1163031,35,4371
1163740,35,4373
1164448,35,4407
1165157,35,4369
1165865,35,4366
