UTC datetime,Sat Jul 23 01:55:24 2022
UTC timestamp,1658566524.435379
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 30,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v+",
      "pin_id": 35,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1064258,35,12727
1064965,35,12762
1065673,35,12767
1066381,35,12780
1067088,35,12760
1067797,35,12760
1068504,35,12759
1069212,35,12756
1069919,35,12766
1070628,35,12752
1071336,35,12766
1072044,35,12760
1072751,35,12761
1073459,35,12769
1074166,35,12762
1074874,35,12763
1075585,35,12764
1076292,35,12762
1077000,35,12764
1077708,35,12813
1078415,35,12742
1079129,35,12758
1079838,35,12764
1080551,35,12764
1081258,35,12763
1081967,35,12767
1082675,35,12763
1083383,35,12760
1084090,35,12766
1084797,35,12759
1085511,35,12776
1086218,35,12757
1086926,35,12755
1087633,35,12762
1088340,35,12754
1089049,35,12763
1089756,35,12760
1090463,35,12756
1091171,35,12763
1091879,35,12762
1092587,35,12767
1093294,35,12762
1094001,35,12760
1094708,35,12766
1095415,35,12766
1096128,35,12758
1096836,35,12760
1097549,35,12759
1098257,35,12761
1098964,35,12759
1099672,35,12725
1100380,35,12761
1101087,35,12759
1101794,35,12755
1102502,35,12765
1103209,35,12757
1103917,35,12760
1104624,35,12755
1105331,35,12760
1106040,35,12760
1106747,35,12764
1107454,35,12766
1108162,35,12762
1108869,35,12762
1109583,35,12762
1110290,35,12770
1110999,35,12764
1111706,35,12756
1112413,35,12753
1113127,35,12758
1113834,35,12761
1114547,35,12759
1115255,35,12756
1115962,35,12754
1116670,35,12759
1117378,35,12758
1118085,35,12759
1118794,35,12762
1119502,35,12743
1120210,35,12759
1120918,35,12718
1121627,35,12759
1122335,35,12762
1123043,35,12753
1123750,35,12756
1124458,35,12753
1125166,35,12758
1125873,35,12764
1126584,35,12761
1127291,35,12763
1128000,35,12762
1128708,35,12763
1129415,35,12769
1130128,35,12749
1130836,35,12715
1131550,35,12762
1132257,35,12758
1132965,35,12763
1133673,35,12776
1134380,35,12760
1135087,35,12768
1135796,35,12779
1136503,35,12760
1137211,35,12759
1137918,35,12764
1138627,35,12769
1139336,35,12768
1140044,35,12766
1140752,35,12763
1141459,35,12732
1142167,35,12764
1142874,35,12814
1143585,35,12797
1144293,35,12764
1145002,35,12746
1145709,35,12760
1146417,35,12762
1147130,35,12766
1147837,35,12758
1148551,35,12764
1149258,35,12763
1149966,35,12763
1150674,35,12765
1151381,35,12765
1152088,35,12668
1152796,35,12758
1153503,35,12776
1154211,35,12760
1154918,35,12765
1155627,35,12764
1156334,35,12743
1157042,35,12760
1157749,35,12765
1158456,35,12764
1159165,35,12759
1159873,35,12764
1160584,35,12762
1161291,35,12759
