UTC datetime,Mon Jul 11 20:13:28 2022
UTC timestamp,1657595608.073096
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "../analysis_code/thermistor_data/noise_examination",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 20,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "v",
      "pin_id": 31,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 5.0,
      "sensor_id": "unknown"
    }
  ]
}
`---`,,
TIME,CH,ADC
1067324,31,7524
1068031,31,7575
1068739,31,7690
1069446,31,7581
1070153,31,7581
1070860,31,7603
1071573,31,7580
1072281,31,7577
1072989,31,7578
1073696,31,7576
1074403,31,7581
1075117,31,7591
1075825,31,7582
1076537,31,7579
1077246,31,7552
1077954,31,7573
1078663,31,7602
1079369,31,7577
1080076,31,7580
1080783,31,7579
1081490,31,7582
1082197,31,7569
1082904,31,7576
1083611,31,7936
1084319,31,7582
1085026,31,7642
1085733,31,7574
1086443,31,7578
1087152,31,7577
1087859,31,7582
1088572,31,7582
1089279,31,7581
1089987,31,7582
1090694,31,7702
1091402,31,7578
1092116,31,7575
1092824,31,7579
1093537,31,7579
1094244,31,7578
1094950,31,7575
1095659,31,7581
1096367,31,7575
1097073,31,7578
1097781,31,7580
1098488,31,7581
1099195,31,7580
1099902,31,7578
1100609,31,7575
1101316,31,7578
1102023,31,7582
1102732,31,7579
1103443,31,7581
1104152,31,7582
1104859,31,7578
1105573,31,7577
1106280,31,6967
1106988,31,7569
1107695,31,7584
1108401,31,7581
1109114,31,7575
1109822,31,7580
1110534,31,7577
1111241,31,7579
1111948,31,7581
1112656,31,7580
1113364,31,7579
1114071,31,7582
1114778,31,7581
1115485,31,7580
1116193,31,7580
1116902,31,7578
1117608,31,7580
1118315,31,7558
1119023,31,7575
1119730,31,7578
1120442,31,7672
1121150,31,7805
1121857,31,7727
1122570,31,7574
1123276,31,7582
1123984,31,7610
1124691,31,7578
1125398,31,7581
1126112,31,7582
1126820,31,7579
1127533,31,7577
1128241,31,7606
1128949,31,7569
1129658,31,7517
1130366,31,7578
1131072,31,7538
1131780,31,7576
1132487,31,7542
1133194,31,7577
1133903,31,7576
1134610,31,7672
1135316,31,7662
1136024,31,7576
1136731,31,7580
1137443,31,7574
1138150,31,7578
1138857,31,7571
1139570,31,7577
1140276,31,7578
1140984,31,7578
1141691,31,7582
1142399,31,7576
1143112,31,7516
1143820,31,7055
1144532,31,7574
1145241,31,7731
1145949,31,7582
1146656,31,7577
1147362,31,7581
1148069,31,7578
1148777,31,7578
1149484,31,7580
1150191,31,7579
1150898,31,7588
1151605,31,7582
1152312,31,7578
1153020,31,7576
1153727,31,7585
1154439,31,7579
1155146,31,7578
1155853,31,7582
1156566,31,7576
1157274,31,7577
1157982,31,7580
1158690,31,7629
1159398,31,7580
1160110,31,7581
1160818,31,7577
1161530,31,7580
1162239,31,7578
1162947,31,7581
1163655,31,7576
1164363,31,7179
