UTC datetime,Fri Jul 22 23:15:05 2022
UTC timestamp,1658556905.314345
`---`,,
{
  "port": "/dev/ttyUSB0",
  "device_name": "Arduino Artemis ATP",
  "data_file_prefix": "/home/stellarremnants/muDAQ/analysis_code/thermistor_data/solderboard_prototype_water_bath_calibration/sbwbc",
  "baudrate": 230400,
  "ignore_first_lines": 10,
  "check_port_exists": false,
  "collection_mode": "duration",
  "collection_duration": 10,
  "collection_count": null,
  "delay_on_empty": 0.01,
  "max_voltage": 2,
  "bit_resolution": 14,
  "channel_list": [
    {
      "channel_name": "K01",
      "pin_id": 29,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K01"
    },
    {
      "channel_name": "K02",
      "pin_id": 11,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K02"
    },
    {
      "channel_name": "K03",
      "pin_id": 34,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K03"
    },
    {
      "channel_name": "K04",
      "pin_id": 33,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K04"
    },
    {
      "channel_name": "K05",
      "pin_id": 16,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K05"
    },
    {
      "channel_name": "K06",
      "pin_id": 31,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K06"
    },
    {
      "channel_name": "K07",
      "pin_id": 13,
      "pin_delay": 500,
      "sensor_type": "thermistor",
      "ref_resistance": 10000,
      "ref_voltage": 3.3,
      "sensor_id": "K07"
    }
  ]
}
`---`,,
TIME,CH,ADC
1186925,29,10766
1187026,11,10865
1187133,34,10735
1187240,33,10726
1187343,16,10693
1187449,31,10668
1187552,13,10715
1191379,29,10772
1191481,11,10797
1191588,34,10736
1191695,33,10833
1191798,16,10732
1191904,31,10719
1192006,13,10680
1195834,29,10817
1195935,11,10810
1196042,34,10771
1196149,33,10765
1196252,16,10701
1196358,31,10707
1196460,13,10710
1200288,29,10808
1200390,11,10863
1200498,34,10715
1200605,33,10780
1200707,16,10637
1200813,31,10675
1200915,13,10732
1204744,29,10726
1204845,11,10882
1204952,34,10677
1205059,33,10772
1205162,16,10704
1205268,31,10683
1205370,13,10464
1209196,29,10736
1209298,11,10842
1209405,34,10763
1209517,33,10781
1209620,16,10714
1209726,31,10703
1209828,13,10725
1213656,29,10761
1213758,11,10840
1213865,34,10743
1213971,33,10791
1214074,16,10695
1214180,31,10708
1214282,13,10690
1218110,29,10754
1218211,11,10830
1218318,34,10736
1218425,33,10767
1218534,16,10703
1218640,31,10692
1218742,13,10703
1222576,29,10760
1222677,11,10807
1222784,34,10720
1222890,33,10775
1222993,16,10695
1223099,31,10681
1223201,13,10721
1227027,29,10760
1227129,11,10840
1227236,34,10747
1227342,33,10793
1227446,16,10678
1227552,31,10686
